id,risk,category,keys
50740,1+,1,j0151521 252 70 30 tsgect cp1f part inuse partition 04
50741,1+,1,j0151521 79 251 30 tsgect cp1f part inuse partition 04
50742,1+,1,j0151521 72 159 29 tsgect cp1f part inuse partition 04
50743,1+,1,j0151521 73 126 29 tsgect cp1f inuse part partition 04
50744,1+,3,j0151575 cgen263p 22 eiss cp1d segment datasets max has 04
50745,1+,3,j0151575 cgen050p eiss cp1d segment max datasets has 04 05
50746,1+,3,j0151575 cgen246p eiss cp1d segment max datasets has 04 05
50747,1+,3,j0151575 cgen245p 24 eiss cp1d segment max datasets has 04
50748,1+,4,60 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full current
50749,1+,4,60 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full 52
50750,1+,4,60 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full current
50751,1+,7,s0044205 extents parmlib bsoextpdss0 exts sys0 mlib set cp2c cp2d
50752,1+,4,60 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 84 full current
50753,1+,4,85 cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 49
50754,10+,4,169870 d54feba0132c ns200035 dp81appl s0129637 dp81 utility luwid after warning
50755,10+,4,gbp0 space pool in buffer group dp1y s0058946 dsnb5sts dsnb319a
50756,10+,4,structure in 160620 37487 bd4 14210 d53f67b9 dsndp0y entries changed
50757,1+,9,ebct s0130101 qp11 csqxrctl chl 37 csqx599e abnormally ended 31
50758,1+,3,j0166030 tsspyo 22 15 cp1c segment datasets max has bancs
50759,1+,3,j0166030 tslmvu 22 15 cp1c segment max datasets has bancs
50760,1+,3,j0166030 tssafe 21 22 15 cp1c segment datasets max has
50761,1+,1,j0166030 73 159 08 tsgect 14 cp1c inuse part partition
50762,1+,1,j0166030 252 70 09 tsgect 14 cp1c part inuse partition
50763,1+,1,j0166030 78 98 tsgect 14 cp1c 07 inuse part partition
50764,1+,1,j0166030 73 126 08 tsgect 14 cp1c inuse part partition
50765,1+,1,j0166030 79 251 09 tsgect 14 cp1c inuse part partition
50766,1+,5,j0166105 na100006 44 cp1f sets waiting ief099i job data for
50767,1+,9,99 qmebctg 110 ebct connection s0130101 qp11 csqxrctl 21 chl
50768,1+,9,ebct s0130101 qp11 csqxrctl chl csqx599e ended abnormally 09 19
50769,1+,3,j0165994 cgen246p 21 eiss cp1f 10 segment max datasets has
50770,1+,3,j0165994 cgen263p 22 eiss cp1f 10 max segment datasets has
50771,1+,3,j0165994 cgen245p 24 eiss cp1f 10 max segment datasets has
50772,1+,3,j0165994 cgen050p eiss cp1f 10 max segment datasets has 04
50773,1+,9,connection s0178019 mq2a 97 eacq hhap ch mqga 23 123
50774,1+,9,96 connection s0177455 mq3a eacq hhap ch mqga 23 123
50775,1+,9,qp0s connection s0048456 qp1s 125 swifti cp3c 54 00000000 tcp
50776,1+,9,qp0s connection s0048789 qp2s 125 swifti cp3d 54 00000000 tcp
50777,1+,9,connection s0048789 qp2s qp0s 125 swifti cp3d 54 00000000 tcp
50778,1+,9,qp0s connection qp2s s0048789 longer 125 swifti cp3d 54 00000000
50779,1+,9,qp0s connection longer s0048456 qp1s 125 swifti cp3c 54 00000000
50780,1+,9,connection s0048456 qp1s qp0s 125 cp3c 54 00000000 tcp trptype
50781,1+,9,qp0s tpz3 s0142753 connection qp2s s0048789 from 125 swifti cp3d
50782,1+,9,qp0s connection s0048456 qp1s 125 swifti cp3c 54 manager terminated
50783,1+,9,qp0s qp1s s0048456 swifti cp3c 54 00000000 trptype tcp manager
50784,1+,9,qp0s connection s0048789 qp2s 125 swifti cp3d 54 00000000 tcp
50785,1+,9,connection s0048789 qp2s qp0s 125 cp3d 54 00000000 tcp trptype
50786,1+,9,connection s0048789 qp2s qp0s 125 swifti cp3d 54 00000000 tcp
50787,1+,9,qp0s qp2s s0048789 swifti cp3d 54 00000000 manager trptype tcp
50788,1+,9,connection s0048789 qp2s qp0s 125 cp3d 54 00000000 tcp trptype
50789,1+,5,j0178839 g01s506b 28 13 cp1d 00 ief099i waiting sets job
50790,10+,4,cskl count bctaskcskls0 tranid s0129908 all 48 22 cp1c 10
50791,10+,4,cip1ga21 db2 27 s0178021 22 dp2c 00 dp0c attachment dfhdb2025i
50792,10+,4,cip1ga11 db2 27 s0177167 22 dp1c 00 dp0c attachment dfhdb2025i
50793,1+,9,wbifnhk wbifnbj s0177454 qwp2 csqxrctl chl csqx599e abnormally ended 40
50794,1+,9,connection 238 wbifnhk wbifnbj s0177454 qwp2 93 csqxrctl chl 00000000
50795,1+,9,connection 238 wbifnbj wbifnhk s0177454 93 qwp2 csqxrctl chl 00000000
50796,1+,9,connection 238 wbifnbj wbifnhk s0177454 93 qwp2 csqxrctl chl 00000000
50797,1+,9,connection 238 wbifnhk wbifnbj s0177454 93 qwp2 csqxrctl chl 00000000
50798,1+,9,connection 238 wbifnhk wbifnbj s0178013 93 qwp1 csqxrctl 51 chl
50799,1+,9,wbnpg02 connection 238 wbifnhk wbifnbj s0178013 93 qwp1 csqxrctl chl
50800,1+,9,chl2 238 wbifnbj wbifnhk s0178013 93 qwp1 csqx599e ended abnormally
50801,1+,9,92 238 wbifnbj wbifnhk s0177454 chl1 qwp2 39 csqx599e ended
50802,1+,4,d5509b6fa2d1 156042 s0177925 delswmsg dpw1appl dpw1 batch luwid warning checkpoints
50803,1+,5,j0183696 p1zosdl 43 31 cp1c sets ief099i waiting job data
50804,1+,5,j0179547 sa060000 36 cp1e sets ief099i waiting job data for
50805,1+,5,j0179547 sa060000 36 cp1e sets ief099i waiting job data for
50806,1+,5,j0136880 tmz60000 cp2a 59 15 ief099i sets waiting job data
50807,1+,9,wcb svrconn connection ch channel s0177155 mq1a mqga 86 123
50808,1+,9,connection s0177455 wcb svrconn mq3a ch mqga 86 123 00000000
50809,1+,9,connection s0177155 wcb svrconn mq1a ch mqga 86 123 00000000
50810,1+,9,143 connection s0178071 mq4a wcb svrconn ch mqga 123 27
50811,1+,9,connection 142 s0178071 mq4a wcb svrconn ch mqga 123 29
50812,1+,9,connection 142 s0177455 wcb svrconn mq3a ch mqga 123 29
50813,1+,9,pu connection supported gen s0177155 wcb svrconn mq1a 87 ch
50814,1+,9,143 connection s0177155 wcb svrconn mq1a ch mqga 123 27
50815,1+,9,143 connection s0178019 mq2a wcb svrconn ch mqga 123 27
50816,1+,9,connection 142 s0178019 mq2a wcb svrconn ch mqga 123 29
50817,1+,9,connection s0178019 wcb mq2a svrconn 87 ch mqga 123 00000000
50818,1+,9,connection s0177455 wcb svrconn mq3a 87 ch mqga 123 00000000
50819,1+,5,j0185126 smfmrgci cp3b waiting ief099i sets job data 04 for
50820,1+,7,pr2200 tmgl2200 tpgl0050 c0 glxx t00 split prddedpr dataset ios080i
50821,1+,5,j0168279 c4card00 cp2b 43 07 02 ief099i sets waiting job
50822,1+,5,g01s660b j0187214 31 cp1e 02 sets ief099i waiting job data
50823,10+,4,d55091869a10 155228 s0177925 delmwh01 dpw1appl dpw1 batch luwid ur checkpoints
50824,1+,9,138 connection bcss s0177455 mq3a eacq mqga 51 123 00000000
50825,1+,9,137 connection bcss s0177155 mq1a eacq mqga 51 123 00000000
50826,1+,9,166 connection bcss s0177155 mq1a eacq mqga 51 35 123
50827,1+,9,mqga manager tcp trptype rc queue connection bcss 165 s0177155
50828,1+,5,j0183924 p1cicsdl 31 cp1e 02 sets ief099i waiting job data
50829,1+,9,connection 153 s0178071 mq4a eacq 109 hhap ch mqga 123
50830,1+,9,connection 153 s0178071 mq4a sms smsp 109 hhap ch mqga
50831,1+,9,connection 152 s0178019 mq2a eacq 109 hhap ch mqga 123
50832,1+,9,connection 152 s0177155 sms smsp mq1a 109 hhap ch mqga
50833,1+,9,hhap ch terminated to 150 channel connection s0178071 mq4a smsp
50834,1+,9,connection 149 s0178019 mq2a eacq 109 hhap ch mqga 35
50835,1+,9,connection 149 s0177455 sms smsp mq3a 109 hhap ch mqga
50836,1+,9,connection 148 s0178019 mq2a eacq 109 hhap ch mqga 48
50837,1+,9,connection 148 s0178071 mq4a sms smsp 109 hhap ch mqga
50838,1+,9,fe7055 147 connection s0177155 dd1 tapelibprodhsh sms smsp volume mq1a
50839,1+,9,147 connection s0178071 mq4a eacq 109 hhap ch mqga 123
50840,1+,9,connection s0177455 146 mq3a eacq 109 hhap ch mqga 123
50841,1+,9,fe5448 connection s0178071 mq4a dd1 tapelibprodhsh 146 sms smsp volume
50842,1+,9,connection 145 s0177455 mq3a eacq 109 hhap ch mqga 123
50843,1+,9,connection 145 s0178019 mq2a sms smsp 109 hhap ch mqga
50844,10+,4,snf session 43 file s0199520 bkchcnbj determined bocou01 msif sessionclosed
50845,10+,4,snf 43 sessi s0199516 generic bkchcnbj transfer dnfo1709e msif bocou01
50846,1+,9,hhap ch terminated to channel connection 144 s0177155 sms smsp
50847,10+,4,structure in logrecstructure d3c53696 f18b86e4 bcc2c2 threshold usage above monitoring
50848,1+,5,j0001041 a01s804b 24 cp1c 10 ief099i sets waiting job data
50849,1+,4,sgimgdp cp1d bsstrgrups1 s0129911 enabled sg full current 85 86
50850,1+,3,j0000446 tssafe 05 cp1f 07 segment max datasets has bancs
50851,1+,3,j0000446 05 tsspyo cp1f 07 segment max datasets has bancs
50852,1+,3,j0000446 05 tslmvu cp1f 07 segment max datasets has bancs
50853,1+,7,s0044205 sys0 exts extents parmlib bsoextpdss0 mlib set cp2c cp2d
50854,1+,9,wbifnbj wbifnhk s0178013 qwp1 csqxrctl chl csqx599e abnormally ended 16
50855,1+,9,wbnpg02 connection 238 wbifnhk wbifnbj s0178013 93 qwp1 csqxrctl chl
50856,1+,9,chl2 238 wbifnbj wbifnhk s0177454 qwp2 93 18 csqx599e ended
50857,1+,9,92 238 wbifnhk wbifnbj s0178013 chl1 qwp1 csqx599e abnormally ended
50858,10+,4,149547 d5511ca4c852 tf003502 s0129634 dp41appl dp41 batch luwid ur dsnrpbcw
50859,10+,4,37 s0199516 returned dnfo1033e snlserverappfailure 562 0348794255405664443969726 31323031383132389215973 wfa information
50860,10+,4,833 d55127eea289 pl s0129621 ns200023 dp51appl dp51 utility luwid checkpoints
50861,10+,4,10145 qm display 5000 bqcarqdeps0 s0129913 namedqueue currentdepth depth mq1a
50862,10+,4,4041 display qm 2000 bqcarqdeps0 s0129913 namedqueue currentdepth depth mq1a
50863,1+,3,j0013698 tslmvu 15 cp1c datasets segment max has bancs big
50864,1+,3,j0013698 tsspyo 15 cp1c datasets segment max has bancs ts
50865,1+,3,j0013698 tssafe 21 15 cp1c datasets segment max has bancs
50866,1+,1,j0013698 73 126 09 tsgect 14 cp1c part inuse partition
50867,1+,1,j0013698 74 159 09 tsgect 14 cp1c part inuse partition
50868,1+,1,j0013698 252 70 tsgect 14 cp1c 10 part inuse partition
50869,1+,1,j0013698 79 251 09 tsgect 14 cp1c inuse part partition
50870,1+,1,j0013698 78 98 08 tsgect 14 cp1c inuse part partition
50871,1+,5,j0013769 na100006 22 cp1d waiting ief099i sets job data for
50872,1+,3,j0013665 cgen263p 22 eiss 10 cp1d segment max datasets has
50873,1+,3,j0013665 cgen245p 24 eiss 10 cp1d segment max datasets has
50874,1+,3,j0013665 cgen050p eiss 10 cp1d segment datasets max has 04
50875,1+,3,j0013665 cgen246p 21 eiss 10 cp1d segment max datasets has
50876,1+,5,j0014340 g01s663b 27 22 08 cp1e sets ief099i waiting job
50877,10+,4,44777 d551c1597c35 s0129624 dp21appl dp21 me980000 db2call luwid after checkpoints
50878,1+,5,j0026368 g01s506b 38 55 cp1d 00 sets waiting ief099i job
50879,1+,5,j0035088 p1cicsdl 57 44 cp1e sets ief099i waiting job data
50880,1+,7,tp863503 tr863503 inve ba reform prddedpr dataset 53 ios080i exceeded
50881,1+,5,j0031913 p1zosdl 36 cp1c ief099i sets waiting job data 03
50882,1+,5,j0031913 p1zosdl 36 cp1c ief099i sets waiting job data 03
50883,1+,5,j0006108 tmz60000 26 cp2d 30 ief099i sets waiting job data
50884,10+,4,dsnb5sts s0126467 dp11 gbp32k1 dsnb319a shortage there space pool in
50885,1+,5,j0104228 rmfrptd3 cp3a 15 02 waiting sets ief099i job data
50886,1+,5,j0042070 zz221201 cp2a 48 06 ief099i waiting sets job data
50887,1+,5,j0048371 a01s766b 23 cp1f ief099i sets waiting job data 03
50888,1+,3,j0048006 tslmvu 27 06 cp1f datasets max segment has bancs
50889,1+,3,j0048006 tssafe 27 06 cp1f datasets max segment has bancs
50890,1000+,4,fd3001 fs1 j0048006 scratched pool02 already dd1 tapelibprodhsh volume tsspyo
50891,1+,5,j0048127 axbkout 27 06 cp1d sets waiting ief099i job data
50892,1+,1,j0048006 252 05 70 09 tsgect cp1f part inuse partition
50893,1+,1,j0048006 79 251 05 09 tsgect cp1f part inuse partition
50894,1+,1,j0048006 74 159 05 08 tsgect cp1f inuse part partition
50895,1+,1,j0048006 73 126 05 08 tsgect cp1f inuse part partition
50896,1+,1,j0048006 78 05 98 tsgect cp1f 07 inuse part partition
50897,1+,3,j0048058 cgen246p eiss cp1d datasets segment max has 04 05
