,id,summary,risk,category
821,51382,15.06.11 CP1D S0177925  DSNT375I  -DPW1 PLAN=DISTSERV WITH CORRELATION-ID=db2jcc_appli CONNECTION-ID=SERVER -         LUW-ID=GB030205.IC22.D5577C464A22=10999 - - THREAD-INFO=WASDB2U:11.3.2.5:WASDB2U:db2jcc_application:DYNAMIC:1289,100+,5
874,51435,"10.25.03 CP1D J0070666 *IEF099I JOB G02S121B WAITING FOR DATA SETS Scratch of volume WP5208 requested by host via device 02AD, dsn='TXNH.CA160117.H20'",100+,5
956,51517,.37.25 CPKB STC07342  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1A INACTIVE - TGN = 21,100+,5
1120,51681,01.32.50 CP1A S0092179  IST1196I  APPN CONNECTION FOR BOCHQP.SSCPCP1C INACTIVE - TGN =  22,100+,5
1189,51750,"01.30.02 CP3B S0047996  SMC0051 SMC SUBSYSTEM INTERFACE ERROR FOR JOB DUMMTW01; REASON=ASCOMM RC=608 (X'00000260'), FUNCTION=XVOLLKUP",100+,5
1203,51764,02.59.22 CP1A S0092179  IST1196I  APPN CONNECTION FOR BOCHQP.SSCPCP1F INACTIVE - TGN =  21,100+,5
1249,51810,02.58.53 CP1F S0177983  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1B INACTIVE - TGN = 21,100+,5
1501,52062,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,100+,5
1535,52096,带库相关问题，请通知系统管理一和生产运行值班人员 03.15.29 S0093608 *3123 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,100+,5
1679,52240,03.05.45 CP3A S0048551  BCTSKLIFES0 SEV=CRI CIP3AA41 TaskID: 20475 TranID: SX02 CUREENT:503 (ElapsedTime > 500),100+,5
1984,52545,15.12.29 S0093400  DSNT375I  -DPW1 PLAN=DSNACLI WITH CORRELATION-ID=LDPSRV CONNECTION-ID=DB2CALL -         LUW-ID=BOCHQP.DPW1APPL.D5606702DFFD=34314 -         THREAD-INFO=LDPSRV:DB2CALL:LDPSRV:LDPSRV:DYNAMIC:1203:*:* -         IS,100+,5
2303,52864,12.23.01 S0093013  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200035 -           LUWID = BOCHQP.DP31APPL.D56180260E66 = 132122 -           PLAN NAME = DSNUTIL -           AUTHID =,100+,5
2425,52986,"21.14.21 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 333 86.4% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPS1.TO.QMENP",100+,5
2426,52987,"21.14.20 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPY1.TO.QMENP",100+,5
2480,53041,"01.19.33          *IOS002A 0702,NO PATHS AVAILABLE",100+,5
2514,53075,"11.18.15 CP2B S0103662  DSNP007I  -DP61 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP61WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF, -            LUW-ID=DSNDP01.DP61APPL.D5667B08719",100+,5
2666,53227,"E2E: 11.51.41 CP3C S0069800  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,5
2915,53476,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201494</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:06:13.22085972.1217069Z</",100+,5
2916,53477,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201705</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:05:10.23462330.1221562Z</",100+,5
2978,53539,"E2E: 19.59.27 CP3A S0018081  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,5
3046,53607,"E2E: 20.59.41 CP3B S0079030  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,5
3782,54343,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,5
3785,54346,"E2E:2018-12-25 20:07:17,970 ERROR - [data.proc.output_rrtview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,5
3786,54347,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,5
3788,54349,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,5
3789,54350,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,5
3978,54539,"10.24.29 CP2A S0187815  DSNP007I  -DP11 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP11WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF261, -            LUW-ID=DSNDP01.DP11APPL.D56F3C11",100+,5
4085,54646,"18.44.29 J0095306 *IEF099I JOB SENDHSKP WAITING FOR DATA SETS Scratch of volume UH0427 requested by host via device 0D1D, dsn='.BKINCTC.CA160414'",100+,5
384,50945,05.06.22 CP1E J0124214  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 243 70.1% INUSE SYSJOB Volume FK1623 (/tapelibPRODHSH/DD1_POOL02_FS7/FK1623) already scratched,10+,7
1761,52322,05.04.49 J0160821  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.7% INUSE SYSJOB Volume FK0884 (/tapelibPRODHSH/DD1_POOL02_FS5/FK0884) already scratched,10+,7
1924,52485,05.14.11 J0048825  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 80.5% INUSE SYSJOB Volume FK9449 (/tapelibPRODHSH/DD1_POOL02_FS7/FK9449) already scratched,10+,7
2350,52911,05.03.45 J0109234  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 81.3% INUSE SYSJOB Volume FE2585 (/tapelibPRODHSH/DD1_POOL02_FS14/FE2585) already scratched,10+,7
2495,53056,05.06.21 J0147859  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 343 87.0% INUSE SYSJOB Volume FK0343 (/tapelibPRODHSH/DD1_POOL02_FS6/FK0343) already scratched,10+,7
1325,51886,02.30.40 CP1C J0093129 *IEF099I JOB P1ZOSDL  WAITING FOR DATA SETS Device 0E76 signaled end of volume to host on Write,10+,8
1389,51950,03.48.31 J0097989 *IEF099I JOB G01SCR10 WAITING FOR DATA SETS Device 0E56 signaled end of volume to host on Write Tapemark,10+,8
1915,52476,04.42.36 J0048726 *IEF099I JOB G01S255B WAITING FOR DATA SETS Volume FJ9906 (/tapelibPRODHSH/DD1_POOL02_FS1/FJ9906) already scratched,10+,8
2451,53012,03.28.07 J0037758 *IEF099I JOB G01S506B WAITING FOR DATA SETS Volume FE2997 (/tapelibPRODHSH/DD1_POOL02_FS13/FE2997) already scratched,10+,8
2614,53175,"02.02.28 J0125488 *IEF099I JOB G01S506B WAITING FOR DATA SETS DSNAME=CSQQPY2S.QPY2.LOGCOPY1.DS014, STARTRBA=000004681AAC0000 ENDRBA=000004691A77FFFF",10+,8
2755,53316,04.42.43 J0040224 *IEF099I JOB G01S506B WAITING FOR DATA SETS Volume FG2839 (/tapelibPRODHSH/DD1_POOL02_FS4/FG2839) already scratched,10+,8
60,50621,12.53.14 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000602 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP81APPL.D54D68D57451 = 23762 -           PL,10+,9
83,50644,00.03.16 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D54DFC48B86E = 89132 -,10+,9
121,50682,12.27.10 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D54EA4273094 = 8949 -           P,10+,9
17,50578,".56.18 CP2A           IOS080I 4CFB,A5,UL460009, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.UNLO.CUS1.UU460009",10+,5
19,50580,"00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED",10+,5
20,50581,"00.40.03 CP2D S0065864 *IOS003A 24AB,INTERVENTION REQUIRED",10+,5
146,50707,22.40.36 CP1C S0126467  DSNR035I  -DP11 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = EH460007 -           CONNECTION ID  = BATCH -           PLAN NAME = DBCI1600 -           AUTHID = TWSP -,10+,9
21,50582,"00.40.02 CP2D S0065864 *IOS003A 1E13,INTERVENTION REQUIRED",10+,5
22,50583,"*00.40.03 CP2D S0065864 *IOS003A 24AA,INTERVENTION REQUIRED",10+,5
23,50584,"00.40.02 CP2D S0065864 *IOS003A 1E14,INTERVENTION REQUIRED",10+,5
150,50711,00.44.43 CP1D S0129625  DSNR035I  -DP61 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS160028 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP61APPL.D54F4A7C0CFD = 127442 -,10+,9
34,50595,03.10.18 CP2D S0044205  BSDB2QBSZS0 SEV=CRI CP2C Data SetName: IMGCP.L.B.BN.TSINVI.CA181128.H14 SIZE=70665375 (Alloc Size(in KB) > 70000000),10+,5
38,50599,"04.23.11 CP3B          *IXC585E STRUCTURE DSNDP0Z_GBP32K1 IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D53F0745 F43E8594, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       T",10+,5
39,50600,04.22.46 CP3B S0006883 *DSNB325A  -DP2Z DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP32K1,10+,5
162,50723,01.01.42 CP1E S0129632  DSNR035I  -DP71 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP71APPL.D54F436D8940 = 114343 -,10+,9
61,50622,"12.28.52 CP1C S0126467  DSNB356I  -DP11 DSNB5SCO FOR GROUP BUFFER POOL GBP34, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54D6492E21C000000 12:20:24 NOV 29, 2018",10+,5
76,50637,"22.01.29 CP1D S0177924  _EYUPN0005W CIP1MM21 Notify created for SAM, Context=CPLEXBBS, Target=CIP1KT22, Sev=HS, Event=!!SAMMAX, Text=MAXTASK at 22:01:29.",10+,5
77,50638,22.01.12 CP3A S0005755  DSNT500I  -DP1Z DSNUGRAR RESOURCE UNAVAILABLE REASON 00C90088 TYPE 00002102 -            NAME BSZBASE .TSGECT  .00000018,10+,5
80,50641,"00.49.22 CP1E S0129632  DSNB356I  -DP71 DSNB5SCO FOR GROUP BUFFER POOL GBP28, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54E0A1EE133000000 00:41:03 NOV 30, 2018",10+,5
87,50648,"01.20.38 CP2D           IOS080I 4780,4E,C2ME6411, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBS.BBCQ.FIBAIFP.ET064109",10+,5
93,50654,"02.05.33 CP2A           IOS080I 15E1,BC,C4042331, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2042.A3301",10+,5
95,50656,04.44.47 CP3A S0005755 *DSNB319A  -DP1Z DSNB5STS THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP28,10+,5
96,50657,"04.44.36 CP3B          *IXC585E STRUCTURE DSNDP0Z_GBP28 IN COUPLING * FACILITY BCC1C5, *PHYSICAL STRUCTURE VERSION D53F0738 E5CC22A5, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       TOT",10+,5
97,50658,04.44.07 CP3B S0006883 *DSNB325A  -DP2Z DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP28,10+,5
112,50673,07.50.52 CP1D S0129911  BSSTRGRUPS0 SEV=WAR CP1D SG: SGTSO CURRENT: 82.10 (Enabled%Full >= 80) Device 0DE6 volume KB0263 AMDD modified 20561 of 20618 blocks written,10+,5
113,50674,"07.40.21 CP3D S0059824 *DSNB325A  -DP2Y DSNB1CNE THERE IS A CRITICAL * SHORTAGE *OF SPACE IN GROUP BUFFER POOL GBP28 -  COMPLETE VOLUME LIST, - DSN=BACKUPP3.IE.TSBGDF.P00024.CA181129.H233957,VOLS=G61577, - TOTALBLOCKS=1",10+,5
114,50675,"07.40.20 CP3B          *IXC585E STRUCTURE DSNDP0Y_GBP28 IN COUPLING * FACILITY BCC2C5, *PHYSICAL STRUCTURE VERSION D53F68F3 95C3B8D4, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 90%: *   SPACE USAGE     IN-USE       TOT",10+,5
193,50754,12.48.31 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200035 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D54FEBA0132C = 169870 -,10+,9
116,50677,07.08.12 CP1E S0049990  DNFO1005E 2018-11-29 23:08:12 BOCOU01 DNF_O_FT 31323031383131398897035 0692397914826869964599609.375  SAG reported an error with the - following parameters: -  Severity    : 'Transient' -  Code        : 'Sw,10+,5
118,50679,10.34.32 CP1A S0129909  BZZFSUSGES0 SEV=WAR CP1E ZFS Name: OMVS.SWIFTIOS.ZFS USEAGE: 80.03,10+,5
241,50802,01.48.44 CP1D S0177925  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = DELSWMSG -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D5509B6FA2D1 = 156042 -           P,10+,9
262,50823,01.15.58 CP1D S0177925  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = DELMWH01 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D55091869A10 = 155228 -           P,10+,9
297,50858,11.32.12 CP1F S0129634  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF003502 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP41APPL.D5511CA4C852 = 149547 -           P,10+,9
299,50860,12.30.12 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP51APPL.D55127EEA289 = 833 -           PL,10+,9
316,50877,23.57.12 CP1D S0129624  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP21APPL.D551C1597C35 = 44777 -,10+,9
361,50922,00.42.09 CP1D S0129624  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS160001 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP21APPL.D5530FF5CB15 = 164345 -,10+,9
394,50955,10.39.43 CP1D S0129624  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF003302 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP21APPL.D5539528D162 = 17668 -           PL,10+,9
395,50956,12.25.50 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200008 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP81APPL.D553ABA9AF44 = 29601 -,10+,9
449,51010,12.30.55 CP1E S0129628  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP31APPL.D554ED8DFCEF = 140377 -,10+,9
787,51348,00.43.28 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = SS160004 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP51APPL.D556D5BF1AD3 = 15738 -,10+,9
819,51380,10.33.10 CP1F S0129637  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF003302 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP81APPL.D55758960746 = 130416 -           P,10+,9
840,51401,00.04.55 CP1C S0129621  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D5580C79BF54 = 135340 -,10+,9
876,51437,11.06.49 CP1F S0129634  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000102 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP41APPL.D558A2C68DCF = 131274 -           P,10+,9
1697,52258,04.57.46 S0093400  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 9 CHECKPOINTS - CORRELATION NAME = DELMWH01 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D5598AE63B31 = 2956 -           PLAN NAM,10+,9
1699,52260,05.48.25 S0093400  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 9 CHECKPOINTS - CORRELATION NAME = DELSWMSG -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D55997D42835 = 4001 -           PLAN NAM,10+,9
1718,52279,04.33.32 S0093400  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = DELMWH01 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D5598AE63B31 = 2956 -           PLAN NAM,10+,9
1743,52304,23.56.11 S0093013  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP31APPL.D55A90690EFD = 102972 -           PLAN,10+,9
1795,52356,00.04.53 S0093013  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP31APPL.D55BD172F337 = 110494 -           PLAN,10+,9
1821,52382,12.32.47 S0093536  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF003402 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP41APPL.D55C7BA674CD = 97075 -           AUTHID,10+,9
158,50719,"01.18.46 CP1C S0177136  DSNB356I  -DP1C DSNB5SCO FOR GROUP BUFFER POOL GBP2, THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY EXIST. - PREVIOUS PAGE LEVEL   = 00D54F526FF573000000 01:09:55 DEC  1, 2018",10+,5
169,50730,"03.01.02 CP1B J0144963  _QDEPTH ALARM:QUEUE[QR.XMITQ1.QPS2.TO.QM93] DEPTH EXCEEDS,NOW 1029748",10+,5
194,50755,13.39.14 CP3C S0058946 *DSNB319A  -DP1Y DSNB5STS THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP0 * SPACE *IN GROUP BUFFER POOL GBP0,10+,5
1846,52407,01.35.35 S0092569  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP51APPL.D55D25654EF8 = 115576 -           PLAN,10+,9
1903,52464,00.16.40 S0093402  DSNR035I  -DP21 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP21APPL.D55E57696A2A = 127419 -           PLAN,10+,9
1932,52493,11.27.02 S0092569  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000902 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP51APPL.D55EEFD984D1 = 158051 -           PLAN N,10+,9
1980,52541,09.25.52 S0093013  DSNR035I  -DP31 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000202 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP31APPL.D5601750A09E = 107118 -           PLAN N,10+,9
2326,52887,01.41.32 S0093400  DSNR035I  -DPW1 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 12 CHECKPOINTS - CORRELATION NAME = DELMWH01 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DPW1APPL.D56227EBDF4F = 86287 -           PLAN N,10+,9
