id,summary,risk,category,keys
51438,15.34.31 CP1E J0075525 *IEF099I JOB JOINKEY  WAITING FOR DATA SETS,1+,8,joinkey j0075525 cp1e waiting sets ief099i job data for j0068251
51439,19.44.14 CP3D S0189611  DNFF4095I 2018-12-08 11:44:14 BOCOUA DNF_FSM LT 'BKCHAU2SA': RP user synchronization will start in '120' seconds.,100+,5,synchronization dnff4095i rp start seconds bkchau2sa 120 will s0189611 bocoua
51440,19.44.12 CP3D S0189611  DNFF4068I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': 'Life Signal' timeout detected by 'FSM SLS'.,100+,5,fsm sls dnff4068i detected bkchau2sa signal s0189611 life bocoua lt
51441,"19.44.12 CP3C S0189605  DNFF4079I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",10+,5,abort code s0189605 server dnff4079i al us007 bkchau2sa diagnostic signal
51442,"19.44.12 CP3D S0189611  DNFF4141I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",10+,5,abort code accepted sfd dnff4141i internal diagnostic us007 bkchau2sa s0189611
51443,"19.41.28 CP3D S0189611  DNFF4141I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': user or SFD-internal ABORT request accepted, ABORT code 'US007', ABORT - diagnostic code 'Life signal timeout'.",10+,5,abort code accepted internal sfd dnff4141i bkchau2aa us007 diagnostic life
51444,19.41.29 CP3D S0189611  DNFF4095I 2018-12-08 11:41:29 BOCOUA DNF_FSM LT 'BKCHAU2AA': RP user synchronization will start in '120' seconds.,100+,5,rp synchronization dnff4095i start bkchau2aa seconds 120 s0189611 will lt
51445,"19.41.28 CP3C S0189605  DNFF4079I 2018-12-08 11:41:28 BOCOUA DNF_FSM LT 'BKCHAU2AA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",10+,5,abort code s0189605 dnff4079i al server bkchau2aa us007 diagnostic life
51446,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB,1+,9,j0079683 tsspyo cp1f bancs max datasets segment has sysjob dba
51447,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 22 DATASETS(MAX 32) SYSJOB,1+,9,j0079683 tssafe cp1f 22 bancs max segment datasets has sysjob
51448,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0079683 tslmvu cp1f bancs max segment datasets has sysjob ts
51449,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 77.7% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51450,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 74.7% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51451,21.13.42 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 71.6% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51452,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 80.7% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51453,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 243 70.6% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51454,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.6% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51455,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB,1+,3,j0079683 cp1f tsgect part inuse partition bancs sysjob dba ts
51456,21.12.37 CP1F J0079761 *IEF099I JOB NA100006 WAITING FOR DATA SETS,1+,8,j0079761 na100006 cp1f waiting ief099i sets job data for j0068538
51457,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB,1+,9,j0079653 cgen263p 22 cp1d eiss segment datasets max has sysjob
51458,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1+,9,j0079653 cgen246p cp1d 21 eiss datasets max segment has sysjob
51459,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0079653 cgen048p cp1d eiss datasets segment max has sysjob dba
51460,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB,1+,9,j0079653 cgen245p 24 cp1d eiss max datasets segment has sysjob
51461,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1+,9,j0079653 cgen050p cp1d eiss datasets segment max has sysjob big
51462,"00.58.00 CP1B S0195832  GEO551I HYPERSWAP DISABLED BY USER IBMSE11 AT 20181209 00:30:27, HyperSwap is disabled (CP1BA)",100+,5,hyperswap disabled s0195832 ibmse11 20181209 user by geo551i cp1ba at
51463,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR * 'CANCEL'.,10+,5,3027 s0092303 cancel 相关 问题 sa390ipl 通知 ief238d 运行 值班人员
51464,带库相关问题，请通知系统管理一和生产运行值班人员 00.55.13 CP1A S0092303 *3027 IEF238D SA390IPL - REPLY DEVICE NAME OR |  'CANCEL'.,10+,5,3027 s0092303 cancel 相关 问题 sa390ipl 通知 ief238d 运行 值班人员
51465,00.55.02 CP1A S0092187  BZMVBBPASS0 SEV=WAR CP1F Jobname: BBSGPR (Status <> ACTIVE),10+,5,bbsgpr bzmvbbpass0 jobname cp1f status cp1a s0092187 war active sev
51466,00.50.49 CP3C S0048456  +CSQX599E !QP1S CSQXRCTL Channel SWIFTI.BPS.CHL ended abnormally,1+,5,swiftibpschl qp1s s0048456 csqxrctl cp3c csqx599e abnormally ended channel j0067756
51467,00.49.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51468,00.49.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp2b eec2bc1a s0007540 persisting remote puname ip bneepuacts0 state tcpip
51469,00.48.52 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp3a eecp3c1a s0048551 persisting remote puname ip bneepuacts0 state tcpip
51470,00.48.52 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51471,00.49.05 CP1E S0177454  +CSQX599E !QWP2 CSQXRCTL Channel SWIFTI.SWIFTLNK.CHL ended abnormally,1+,5,swiftiswiftlnkchl s0177454 qwp2 csqxrctl csqx599e abnormally ended channel cp1e j0066749
51472,00.48.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51473,00.48.20 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp2b eec2bc1a s0007540 persisting remote puname ip bneepuacts0 state tcpip
51474,00.47.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51475,00.48.21 CP1D S0092109  +CSQX599E !QPY2 CSQXRCTL Channel QR.CHL1.QPY2.TO.QM55 ended abnormally,10+,5,qrchlqpytoqm55 s0092109 qpy2 csqxrctl csqx599e abnormally ended channel cp1d j0070069
51476,00.47.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp2b eec2bc1a s0007540 persisting remote puname ip bneepuacts0 state tcpip
51477,00.47.53 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51478,00.47.53 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp3a eecp3c1a s0048551 persisting remote puname ip bneepuacts0 state tcpip
51479,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN1.QPY1.TO.QM93 ended abnormally,1+,5,qrchnqpytoqm93 s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51480,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN2.QPY1.TO.QMDD ended abnormally,1+,5,qrchnqpytoqmdd s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51481,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN2.QPY1.TO.QM93 ended abnormally,1+,5,qrchnqpytoqm93 s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51482,00.47.41 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHN1.QPY1.TO.QMDD ended abnormally,1+,5,qrchnqpytoqmdd s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51483,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL2.QPY1.TO.QMDD ended abnormally,1+,5,qrchlqpytoqmdd s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51484,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL1.QPY1.TO.QMDD ended abnormally,1+,5,qrchlqpytoqmdd s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51485,00.47.25 CP1F S0092108  +CSQX599E !QPY1 CSQXRCTL Channel QR.CHL1.QPY1.TO.QM93 ended abnormally,1+,5,qrchlqpytoqm93 s0092108 qpy1 csqxrctl cp1f csqx599e abnormally ended channel j0066749
51486,00.45.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51487,00.45.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp3a eecp3c1a s0048551 persisting remote puname ip bneepuacts0 state tcpip
51488,00.46.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51489,00.46.21 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp2b eec2bc1a s0007540 persisting remote puname ip bneepuacts0 state tcpip
51490,00.45.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting) 00:44:25 IST924I ------------------------------------------------------------- IST2192I STARTE,10+,5,cp2b starte ist2192i ist924i eec2bc1a s0007540 persisting ip puname bneepuacts0
51491,00.45.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51492,00.45.06 CP1E S0127285  +CSQX599E !QPY2 CSQXRESP Channel QR.CHL1.QM55.TO.QPY2 ended abnormally,1+,5,s0127285 qrchlqmtoqpy2 qpy2 csqx599e abnormally ended csqxresp channel cp1e j0070069
51493,00.44.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp3a eecp3c1a s0048551 persisting remote puname ip bneepuacts0 state tcpip
51494,00.44.54 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51495,00.45.06 CP1E S0127285  +CSQX599E !QPY2 CSQXRESP Channel QR.CHL1.QM93.TO.QPY2 ended abnormally,1+,5,s0127285 qrchlqmtoqpy2 qpy2 csqx599e abnormally ended csqxresp channel cp1e j0070069
51496,00.44.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,cp2b eec2bc1a s0007540 persisting remote puname ip bneepuacts0 state tcpip
51497,00.44.22 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51498,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QM55.TO.QPY1 ended abnormally,1+,5,qrchlqmtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0070069
51499,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QMDD.TO.QPY1 ended abnormally,1+,5,qrchlqmddtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0070069
51500,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QM93.TO.QPY1 ended abnormally,1+,5,qrchnqmtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0070069
51501,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHL1.QM93.TO.QPY1 ended abnormally,1+,5,qrchlqmtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0070069
51502,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QMDD.TO.QPY1 ended abnormally,1+,5,qrchnqmddtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0068538
51503,00.43.46 CP1C S0127288  +CSQX599E !QPY1 CSQXRESP Channel QR.CHN1.QM55.TO.QPY1 ended abnormally,1+,5,qrchnqmtoqpy1 s0127288 qpy1 csqx599e abnormally ended csqxresp channel cp1c j0070069
51504,00.42.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51505,00.42.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE),1+,5,cp3a eecp3c1a s0048551 puname ip bneepuacts0 remote state tcpip system
51506,00.43.23 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting) 00:42:27 IST924I ------------------------------------------------------------- IST2192I STARTE,10+,5,cp2b ist924i ist2192i starte eec2bc1a s0007540 27 persisting ip puname
51507,00.43.23 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eec2ac1a s0007540 persisting cp2a cp2b remote ip puname bneepuacts0 state
51508,00.42.24 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2BC1A System:CP2B Remote IP:11.3.2.1         (State <> ACTIVE) BOCHQP.SSCPCP1A IST1495I NO ALTERNATE ROUTE AVAILABLE IST314I END,10+,5,cp2b alternate route ist1495i ist314i bochqpsscpcp1a available end eec2bc1a no
51509,00.42.24 CP2B S0007540  BNEEPUACTS0 SEV=CRI TCPIP PUName:EEC2AC1A System:CP2A Remote IP:11.3.2.1         (State <> ACTIVE),1+,5,eec2ac1a s0007540 cp2a cp2b remote bneepuacts0 ip puname state tcpip
51510,"00.42.13 CP1F S0092089  ASN0574E  ""Q Capture"" : ""QRPHY1"" : ""WorkerThread"" : The WebSphere MQ queue manager ""QPY1"" is not available or it was not started. - The program will terminate.",10+,5,the workerthread program terminate websphere it qrphy1 mq asn0574e s0092089
51511,00.41.55 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE) (Persisting),1+,5,eecp3c1a s0048551 cp3a persisting puname ip remote bneepuacts0 state cp3c
51512,00.39.56 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3C Remote IP:11.3.2.1         (State <> ACTIVE),1+,5,eecp3c1a s0048551 cp3a bneepuacts0 remote puname ip state cp3c tcpip
51513,00.39.56 CP3A S0048551  BNEEPUACTS0 SEV=CRI TCPIP PUName:EECP3C1A System:CP3A Remote IP:11.3.2.1         (State <> ACTIVE),1+,5,cp3a eecp3c1a s0048551 puname ip bneepuacts0 remote state tcpip system
