id,summary,risk,category,keys
56772,"SWIFTNet Connectivity error : <?xml version=""1.0""?>
<SwInt:WaitResponse><SwInt:WaitReference>
        <SwInt:SendReferenceVal>201705</SwInt:SendReferenceVal>
    </SwInt:WaitReference><SwInt:SwiftRequestRef>SNL53057-2018-12-24T16:05:10.23462330.1221562Z</",1000+,1,swint sendreferenceval waitreference 1221562 201705 23462330 swiftnet swiftrequestref xml t16
51415,05.28.18 CP1D J0066749 *IEF099I JOB A01S766B WAITING FOR DATA SETS,1+,3,j0066749 a01s766b cp1d 05 waiting ief099i sets job data for
51416,*05.16.59 CP1C J0066611 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1+,3,j0066611 axbkout cp1c 05 sets waiting ief099i job data for
51417,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 22 DATASETS(MAX 32) SYSJOB,1+,7,j0066319 tssafe cp1f bancs 05 max datasets segment 32 has
51418,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB,1+,7,j0066319 tsspyo cp1f bancs 05 max segment datasets 32 has
51419,05.08.37 CP1F J0066319  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB,1+,7,j0066319 tslmvu cp1f bancs 05 max datasets segment 32 has
51420,05.06.51 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 71.6% INUSE SYSJOB,1+,4,j0066319 71 cp1f tsgect part partition inuse bancs 05 sysjob
51421,05.06.50 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 80.6% INUSE SYSJOB,1+,4,j0066319 80 cp1f tsgect part partition inuse bancs 05 sysjob
51422,05.06.49 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 77.3% INUSE SYSJOB,1+,4,77 j0066319 cp1f tsgect part partition inuse bancs 05 sysjob
51423,05.06.48 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 74.7% INUSE SYSJOB,1+,4,j0066319 74 cp1f tsgect part partition inuse bancs 05 sysjob
51424,05.06.47 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB,1+,4,j0066319 71 cp1f tsgect part partition inuse bancs 05 sysjob
51425,05.06.48 CP1F J0066319  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.6% INUSE SYSJOB,1+,4,j0066319 79 cp1f tsgect part inuse partition bancs 05 sysjob
51426,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1+,2,j0066379 cgen050p cp1e eiss 05 max datasets segment 32 has
51427,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB,1+,2,j0066379 cgen245p cp1e eiss 05 max datasets segment 32 has
51428,05.04.13 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1+,2,j0066379 cgen246p cp1e eiss 05 max datasets segment 32 has
51429,05.04.13 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB,1+,2,j0066379 cgen263p cp1e eiss 05 datasets segment max 32 has
51430,05.04.12 CP1E J0066379  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 20 DATASETS(MAX 32) SYSJOB,1+,2,j0066379 cgen048p cp1e eiss 05 max datasets segment 32 has
51431,06.55.30 CP1C J0067756 *IEF099I JOB G00S077B WAITING FOR DATA SETS,1+,3,j0067756 g00s077b 06 cp1c ief099i sets waiting job data for
51432,07.30.12 CP1C J0068251 *IEF099I JOB G01S260B WAITING FOR DATA SETS,1+,3,j0068251 g01s260b cp1c 07 waiting sets ief099i job data for
51433,07.30.05 CP1D J0068247 *IEF099I JOB G01S192B WAITING FOR DATA SETS,1+,3,j0068247 g01s192b cp1d 07 waiting sets ief099i job data for
56964,"10.22.14 S0092583 *IEA480E 56F2,SCU,MODERATE ALERT,MT=2107,SER=0385-50561, *REFCODE=AF60-06E0-127E,SENSE=00901000 003C8F25 11500006 E0127E0D *0500C581 A568AF60 05104200 F1000000",1000+,1,e0127e0d s0092583 a568af60 c8f25 f2 127 af60 c581 50561 scu
51435,"10.25.03 CP1D J0070666 *IEF099I JOB G02S121B WAITING FOR DATA SETS Scratch of volume WP5208 requested by host via device 02AD, dsn='TXNH.CA160117.H20'",100+,1,ad j0070666 wp5208 txnh g02s121b ca160117 via scratch h20 requested
51444,19.41.29 CP3D S0189611  DNFF4095I 2018-12-08 11:41:29 BOCOUA DNF_FSM LT 'BKCHAU2AA': RP user synchronization will start in '120' seconds.,100+,1,dnff4095i start synchronization 120 seconds bkchau2aa will s0189611 rp bocoua
51437,11.06.49 CP1F S0129634  DSNR035I  -DP41 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000102 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP41APPL.D558A2C68DCF = 131274 -           P,1+,9,d558a2c68dcf s0129634 tf000102 dp41appl dp41 batch dsnrpbcw dsnr035i warning checkpoints
51438,15.34.31 CP1E J0075525 *IEF099I JOB JOINKEY  WAITING FOR DATA SETS,1+,3,joinkey j0075525 15 cp1e waiting ief099i sets job data for
51517,.37.25 CPKB STC07342  IST1196I APPN CONNECTION FOR BOCHQP.SSCPCP1A INACTIVE - TGN = 21,100+,1,stc07342 sscpcp1a cpkb ist1196i tgn appn inactive bochqp connection 21
51750,"01.30.02 CP3B S0047996  SMC0051 SMC SUBSYSTEM INTERFACE ERROR FOR JOB DUMMTW01; REASON=ASCOMM RC=608 (X'00000260'), FUNCTION=XVOLLKUP",100+,1,xvollkup 00000260 interface dummtw01 smc0051 smc ascomm s0047996 function reason
51963,03.31.19 S0092182  GEO171W CONTROLLING SYSTEM(S) NOT FOUND ( CPKB ) (CP1AA),100+,1,controlling geo171w cpkb cp1aa s0092182 not 03 system found j0159156
52062,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,100+,1,fe 807 ff 797 78 79 80 aff bff f80
52063,带库相关问题，请通知系统管理一和生产运行值班人员 03.18.21 S0093614 *3139 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | ED80-EDAF EE00-EE3F EE80-EEAF EF00-EF3F EF80-EFAF | :,100+,1,ed80 edaf efaf ef80 ef3f ef00 ee80 ee3f ee00 eeaf
52096,带库相关问题，请通知系统管理一和生产运行值班人员 03.15.29 S0093608 *3123 IEF238D SA390IPL - REPLY DEVICE NAME OR 'CANCEL'. | 78FE-78FF 797E-797F 79FE-79FF 7A7E-7A7F 7AFE-7AFF 7B7E-7B7F 7BFE-7BFF | 7E00-7E7D 7E80-7EAF 7F00-7F7D 7F80-7FAF 807E-807F 80FE-80F,100+,1,fe ff 797 807 78 79 80 f7d eaf a7f
52240,03.05.45 CP3A S0048551  BCTSKLIFES0 SEV=CRI CIP3AA41 TaskID: 20475 TranID: SX02 CUREENT:503 (ElapsedTime > 500),100+,1,500 sx02 cip3aa41 bctsklifes0 taskid cureent elapsedtime tranid s0048551 cp3a
51446,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSPYO HAS 25 DATASETS(MAX 32) SYSJOB,1+,7,j0079683 tsspyo cp1f bancs segment datasets max 32 21 has
51447,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSSAFE HAS 22 DATASETS(MAX 32) SYSJOB,1+,7,j0079683 tssafe cp1f bancs max datasets segment 32 21 has
51448,21.14.45 CP1F J0079683  +DBA:BANCS BIG SEGMENT TS FOUND!TSLMVU HAS 20 DATASETS(MAX 32) SYSJOB,1+,7,j0079683 tslmvu cp1f bancs max datasets segment 32 21 has
51449,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 159 77.7% INUSE SYSJOB,1+,4,77 j0079683 cp1f tsgect part inuse partition bancs 21 sysjob
51450,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 126 74.7% INUSE SYSJOB,1+,4,j0079683 74 cp1f tsgect part inuse partition bancs 21 sysjob
51451,21.13.42 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 252 71.6% INUSE SYSJOB,1+,4,j0079683 71 cp1f tsgect part inuse partition bancs 21 sysjob
51452,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 251 80.7% INUSE SYSJOB,1+,4,j0079683 80 cp1f tsgect partition part inuse bancs 21 sysjob
51453,21.13.41 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 243 70.6% INUSE SYSJOB,1+,4,j0079683 70 cp1f tsgect part inuse partition bancs 21 sysjob
51454,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 98 79.6% INUSE SYSJOB,1+,4,79 j0079683 cp1f tsgect partition inuse part bancs 21 sysjob
51455,21.13.40 CP1F J0079683  +DBA:BANCS BIG PARTITION TS FOUND!TSGECT PART 87 71.7% INUSE SYSJOB,1+,4,j0079683 71 cp1f tsgect part inuse partition bancs 21 sysjob
51456,21.12.37 CP1F J0079761 *IEF099I JOB NA100006 WAITING FOR DATA SETS,1+,3,j0079761 na100006 cp1f 21 waiting sets ief099i job data for
51457,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN263P HAS 22 DATASETS(MAX 32) SYSJOB,1+,2,j0079653 cgen263p cp1d eiss datasets segment max 32 21 has
51458,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN246P HAS 21 DATASETS(MAX 32) SYSJOB,1+,2,j0079653 cgen246p cp1d eiss datasets segment max 32 21 has
51459,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN048P HAS 20 DATASETS(MAX 32) SYSJOB,1+,2,j0079653 cgen048p cp1d eiss datasets segment max 32 21 has
51460,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN245P HAS 24 DATASETS(MAX 32) SYSJOB,1+,2,j0079653 cgen245p cp1d eiss datasets segment max 32 21 has
51461,21.04.11 CP1D J0079653  +DBA:EISS BIG SEGMENT TS FOUND!CGEN050P HAS 20 DATASETS(MAX 32) SYSJOB,1+,2,j0079653 cgen050p cp1d eiss datasets segment max 32 21 has
52281,"08.10.49 S0116365  DNIE4497E 2018-12-09 00:10:49 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog=\BIPmsgs\, error - number=\2666\, parameters=\[[-1][MQW101][2085][][QWP1 -",100+,1,exception message s0116365 dnie4497e catalog dni sysadm 2085 valid without
52283,"09.40.15 S0117117  DNIE4497E 2018-12-09 01:40:14 SYSOU DNI_SYSADM Exception without valid message ID; exception data: message catalog='BIPmsgs', error - number='2666', parameters='((-1)(MQW101)(2085)()(QWP1 -",100+,1,exception message bipmsgs sysadm mqw101 s0117117 without valid dni 2085
52313,"03.58.39 J0158373  IEC205I SYS00003,ONLJRIM,DSNBPROC,FILESEQ=21, COMPLETE VOLUME LIST, DSN=BACKUPP1.ONL.TSIMGF.D181209.H19,VOLS=S29186,TOTALBLOCKS=35 - THE CONDITION THAT CAUSED THE PREVIOUS DSNB355I MESSAGE DOES NOT - CURRENTLY E",100+,1,the onljrim sys00003 backupp1 onl tsimgf dsnbproc j0158373 fileseq iec205i
52334,07.30.36 S0117117  DNFO1033E 2018-12-09 23:30:36 BOCOU01 DNF_O_FT 31323031383132389215973 0348794255405664443969726.562  SAG returned error information with - the following parameters: -  Code    : 'Sw.Wfa.SnlServerAppFailure' -,100+,1,snlserverappfailure s0117117 wfa sag following information returned dnfo1033e bocou01 parameters
52545,15.12.29 S0093400  DSNT375I  -DPW1 PLAN=DSNACLI WITH CORRELATION-ID=LDPSRV CONNECTION-ID=DB2CALL -         LUW-ID=BOCHQP.DPW1APPL.D5606702DFFD=34314 -         THREAD-INFO=LDPSRV:DB2CALL:LDPSRV:LDPSRV:DYNAMIC:1203:*:* -         IS,100+,1,ldpsrv id db2call d5606702dffd 1203 dynamic dsnt375i dsnacli info luw
52987,"21.14.20 J0019393  +DBA:BANCS BIG PARTITION TS FOUND!TSINCT PART 328 86.6% INUSE SYSJOB operation - by utility ""LOAD SHRLEVEL NONE REPLACE"" was detected on table - ""NBANCS.TIER"" for Q subscription ""PUBDD_NTIER"" (receive queue - ""QR.NI.SENDQ1.QPY1.TO.QMENP",100+,1,ni shrlevel pubdd qmenp none nbancs receive operation sendq1 replace
53041,"01.19.33          *IOS002A 0702,NO PATHS AVAILABLE",100+,1,ios002a paths 0702 available no 01 j0160221 j0160298 j0159851 j0159469
53075,"11.18.15 CP2B S0103662  DSNP007I  -DP61 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP61WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF, -            LUW-ID=DSNDP01.DP61APPL.D5667B08719",100+,1,id xref d5667b08719 dp61work s0103662 dsnp007i d70027 a001 dsn32k20 dsndp01s
53227,"E2E: 11.51.41 CP3C S0069800  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,1,socket log s0069800 失败 ilgdc08e stctvli reconnect threadid 线程 bpxm023i
53539,"E2E: 19.59.27 CP3A S0018081  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,1,socket log s0018081 失败 bpxm023i 重连 threadid 退出 ilgdc08e stctvli
53607,"E2E: 20.59.41 CP3B S0079030  BPXM023I (STCTVLI) ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,1,socket log s0079030 失败 stctvli reconnect threadid bpxm023i 线程 ilgdc08e
54343,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,systemtxindview get 应锟 矫筹 proc 18 07 data 20 e2e
54346,"E2E:2018-12-25 20:07:17,970 ERROR - [data.proc.output_rrtview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,rrtview output 应锟 矫筹 proc 17 07 data 20 e2e
54347,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,bigview output 应锟 矫筹 proc 17 07 data 20 e2e
54349,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,convertrrt 矫筹 应锟 proc 17 07 data 20 e2e 2018
54350,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,main 矫筹 应锟 proc 18 07 data 20 e2e 2018
54539,"10.24.29 CP2A S0187815  DSNP007I  -DP11 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP11WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF261, -            LUW-ID=DSNDP01.DP11APPL.D56F3C11",100+,1,id dp11work d56f3c11 s0187815 xref261 dsnpxtn0 extend dsndbd dsndp01s dsnp007i
54881,"08.27.21 CP2C          *IOS450E 0E7D,66, PERMANENT I/O, PATH TAKEN OFFLINE",100+,1,path taken ios450e offline 66 permanent e7d cp2c 08 j0158436
54983,"11.33.01          *IEA480E 222F,DASD,MODERATE ALERT,MT=2107, * SER=0385-50633, *REFCODE=DF91-8001-E605,VOLSER=P1442F,ID=42,SENSE=00000600 2F32CF42 *11400080 01E6050D 0500C5C9 A220DF91 05104200 FE000000",100+,1,df91 a220df91 f32cf42 p1442f 222 e6050d e605 50633 c5c9 8001
54988,"19.32.59          *IEA480E 224A,DASD,SERIOUS ALERT,MT=2107,SER=0385-50633, *REFCODE=EF11-8001-E605,VOLSER=P1444A,ID=42,REPEATED,SENSE=00000600 *4A32CF42 11808080 01E6050D 0500C5C9 A220EF11 05104200 FE000000",100+,1,a32cf42 p1444a repeated 224 a220ef11 serious ef11 50633 e605 c5c9
55125,09.04.37 S0093400  DSNT375I  -DPW1 PLAN=DSNACLI WITH CORRELATION-ID=QWP1BRK CONNECTION-ID=RRSAF -         LUW-ID=BOCHQP.DPW1APPL.D57A7BF03032=102775 -         THREAD-INFO=STCWBIFN:RRSAF:STCWBIFN:QWP1BRK:DYNAMIC:3951:*:* -,100+,1,qwp1brk stcwbifn rrsaf id d57a7bf03032 3951 dsnt375i info dynamic dsnacli
55138,09.04.37 S0093400  DSNT375I  -DPW1 PLAN=DSNACLI WITH CORRELATION-ID=QWP1BRK CONNECTION-ID=RRSAF -         LUW-ID=BOCHQP.DPW1APPL.D57A7BF03032=102775 -         THREAD-INFO=STCWBIFN:RRSAF:STCWBIFN:QWP1BRK:DYNAMIC:3951:*:* -,100+,1,qwp1brk stcwbifn rrsaf id d57a7bf03032 3951 dsnt375i info dynamic dsnacli
55283,"19.32.59          *IEA480E 224A,DASD,SERIOUS ALERT,MT=2107,SER=0385-50633, *REFCODE=EF11-8001-E605,VOLSER=P1444A,ID=42,REPEATED,SENSE=00000600 *4A32CF42 11808080 01E6050D 0500C5C9 A220EF11 05104200 FE000000",100+,1,a32cf42 p1444a repeated 224 a220ef11 serious ef11 50633 e605 c5c9
55287,"10.00.24 S0093060 *IEA480E 223C,DASD,MODERATE ALERT,MT=2107, * SER=0385-50633, *REFCODE=DF81-8001-E605,VOLSER=P1443C,ID=14,SENSE=00000600 3C32CF14 *11400080 01E6050D 0500C5C9 A220DF81 05104200 FE000000",100+,1,223 df81 a220df81 p1443c c32cf14 s0093060 c5c9 e605 50633 e6050d
55377,"08.27.21 CP2C          *IOS450E 0E7D,66, PERMANENT I/O, PATH TAKEN OFFLINE",100+,1,path taken ios450e offline 66 permanent e7d cp2c 08 j0158436
55715,"10.24.29 CP2A S0187815  DSNP007I  -DP11 DSNPXTN0 - EXTEND FAILED FOR DSNDP01S.DSNDBD.DP11WORK.DSN32K20.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=XREF261, -            LUW-ID=DSNDP01.DP11APPL.D56F3C11",100+,1,id dp11work d56f3c11 s0187815 xref261 dsnpxtn0 extend dsndbd dsndp01s dsnp007i
55814,"E2E: 19.56.20 CP3B S0018082  BPXM023I [STCTVLI] ILGDC08E:socket reconnect failed,ThreadId:1        端到端主机Log DC重连Socket失败，Log DC线程退出。",100+,1,socket log s0018082 失败 stctvli reconnect threadid bpxm023i 线程 ilgdc08e
56606,"E2E:2018-12-25 20:07:18,407 ERROR - [data.proc.get.SystemTxindView] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,systemtxindview get 应锟 矫筹 proc 18 07 data 20 e2e
56609,"E2E:2018-12-25 20:07:17,970 ERROR - [data.proc.output_rrtview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,rrtview output 应锟 矫筹 proc 17 07 data 20 e2e
56610,"E2E:2018-12-25 20:07:17,962 ERROR - [data.proc.output_bigview] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,bigview output 应锟 矫筹 proc 17 07 data 20 e2e
56612,"E2E:2018-12-25 20:07:17,955 ERROR - [data.proc.convertRRT] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,convertrrt 矫筹 应锟 proc 17 07 data 20 e2e 2018
56613,"E2E:2018-12-25 20:07:18,477 ERROR - [data.proc.main] 应锟矫筹拷锟斤拷锟斤拷锟斤拷锟斤拷锟斤拷锟杰斤拷锟斤拷锟斤拷锟接★拷",100+,1,main 矫筹 应锟 proc 18 07 data 20 e2e 2018
56962,"*07.33.22 CP3A          *IEA480E 678A,DASD,MODERATE ALERT,MT=2107, * SER=0375-55900, *REFCODE=DF83-8001-0805,VOLSER=P3678A,ID=04,SENSE=00000600 0032CF04 *11400080 0108050C E500DA5C 4D01DF83 05104E00 FE000000",100+,1,678 0375 e500da5c cf04 55900 df83 d01df83 0032 0805 0108050
56963,"07.20.31 CP2C          *IEA480E 5A28,SCU,MODERATE ALERT,MT=2107, * SER=0385-50561, *REFCODE=AF60-36E0-127A,SENSE=00901000 003C8F12 11500036 E0127A0D *0500C581 A5A0AF60 05104200 F1000000",100+,1,e0127a0d a5a0af60 a28 c8f12 c581 af60 50561 127 scu e0
56967,14.50.05 S0093505 *ARC0911E MCDS INDEX DATA SET IS ABOUT 081% FULL,100+,1,s0093505 081 mcds about arc0911e index full set 14 is
51404,"01.22.19 CP2D           IOS080I 47B1,9A,TMGL5100, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.GLXX.TPGL0027.PR5100.T00",10+,1,t00 tpgl0027 tmgl5100 glxx pr5100 b1 split prddedpr dataset ios080i
51407,"02.12.58 CP2A           IOS080I 4BFB,A5,C404132C, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.ET.ETQD2041.A3212",10+,1,bfb c404132c a3212 a5 etqd2041 et prdc64r lveq cp2a dataset
51410,03.07.01 CP1D S0178019  _CSQX599E !MQ2A CSQXRESP Channel PRM.MER.ISTCONN ended abnormally connection 21.123.107.142 -  BEEN - RUNNING FOR 105 MINUTES -            CORRELATION NAME=ENTRPYMV0033 -            CONNECTION ID=CIP1KA32 -,10+,1,entrpymv0033 connection s0178019 cip1ka32 minutes istconn mq2a mer prm running
51414,"04.07.16 CP2C           IOS080I 4CE4,70,AM300026, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDC64R.LVEQ.TEMP.AM202663.S01",10+,1,am202663 ce4 am300026 s01 temp prdc64r lveq 70 dataset interval
51436,11.28.24 CP3D S0059824 *DSNB319A  -DP2Y DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP0,10+,1,gbp0 dp2y s0059824 dsnb319a there dsnb1cne shortage pool space buffer
51439,19.44.14 CP3D S0189611  DNFF4095I 2018-12-08 11:44:14 BOCOUA DNF_FSM LT 'BKCHAU2SA': RP user synchronization will start in '120' seconds.,10+,1,dnff4095i start synchronization 120 seconds bkchau2sa will s0189611 rp bocoua
51440,19.44.12 CP3D S0189611  DNFF4068I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': 'Life Signal' timeout detected by 'FSM SLS'.,10+,1,fsm sls dnff4068i detected bkchau2sa life s0189611 signal bocoua lt
51441,"19.44.12 CP3C S0189605  DNFF4079I 2018-12-08 11:44:12 BOCOUA DNF_FSM LT 'BKCHAU2SA': ABORT requested by AL server, ABORT code 'US007', ABORT diagnostic code - 'Life signal timeout'.",10+,1,abort code al dnff4079i server s0189605 us007 diagnostic bkchau2sa requested
