id,risk,category,keys
50633,1+,4,j0013880 cgen050p eiss cp1d datasets segment max 32 has 21
50634,1+,4,j0013880 cgen246p eiss cp1d datasets segment max 32 has 21
50635,1+,4,j0013880 cgen245p eiss cp1d datasets segment max 32 has 21
50636,1+,4,j0013880 cgen263p eiss cp1d datasets segment max 32 has 21
50637,10+,6,22 s0177924 cip1mm21 cip1kt22 event created notify text sammax context
50638,10+,6,00000018 bszbase dp1z dsnugrar resource dsnt500i s0005755 c90088 unavailable type
50639,1+,5,j0025022 g01s663b 23 cp1d sets waiting ief099i job data for
50640,1+,5,j0025022 g01s663b 23 cp1d sets waiting ief099i job data for
50641,10+,6,previous 00 the d54e0a1ee133000000 nov s0129632 gbp28 dp71 exist dsnb356i
50642,1+,5,j0028757 g01s023b 00 cp1e waiting ief099i sets job data for
50643,1+,5,j0026205 sa040000 00 cp1f sets ief099i waiting job data for
50644,1+,8,d54dfc48b86e s0129621 dp51appl dp51 me980000 db2call luwid uncommitted checkpoints ur
50645,100+,6,071 paths ios002a available no cp1e 01 j0158318 j0166664 j0162454
50646,1+,5,j0031379 pu gen supported p1zosdl cp1c waiting sets ief099i job
50647,1+,5,j0197486 tmz60000 cp2b waiting ief099i sets job data for 01
50648,10+,6,c2me6411 et064109 4780 fibaifp prdcbs bbcq dataset ios080i exceeded interval
50649,1+,5,j0030696 g01s506b cp1f waiting ief099i sets job data for 01
50650,1+,5,j0158318 smfmrgci cp3b waiting ief099i sets job data for 01
50651,1+,5,j0030506 smfmrgci cp1e waiting ief099i sets job data for 01
50652,1+,5,j0164176 rmfrptd3 cp3b 02 waiting ief099i sets job data for
50653,1+,5,j0035810 p1cicsdl cp1e 02 waiting ief099i sets job data for
50654,10+,6,c4042331 a3301 bc e1 etqd2042 et prdc64r lveq 15 dataset
50655,1+,5,j0046576 cxbkup06 cp1c 03 waiting ief099i sets job data for
50656,10+,6,dsnb5sts dp1z s0005755 gbp28 dsnb319a shortage there space pool in
50657,10+,6,structure in d53f0738 e5cc22a5 bcc1c5 dsndp0z tot 90 gbp28 above
50658,10+,6,dp2z s0006883 dsnb325a critical gbp28 dsnb1cne shortage there space pool
50659,1+,5,j0049712 axbkout cp1d waiting ief099i sets job 05 data for
50660,1+,4,j0049198 tslmvu cp1c max datasets segment 32 05 has bancs
50661,1+,4,j0049198 tssafe cp1c max datasets segment 32 05 has bancs
50662,1+,4,j0049198 tsspyo cp1c max datasets segment 32 05 has bancs
50663,1+,1,j0049198 78 tsgect cp1c inuse part partition 05 bancs dba
50664,1+,1,j0049198 70 tsgect cp1c part inuse partition 05 bancs big
50665,1+,4,j0049258 cgen050p cp1f eiss segment datasets max 32 05 has
50666,1+,1,j0049198 73 tsgect cp1c inuse part partition 05 bancs big
50667,1+,1,77 j0049198 tsgect cp1c inuse part partition 05 bancs ts
50668,1+,4,j0049258 cgen263p cp1f eiss segment datasets max 32 05 has
50669,1+,4,j0049258 cgen245p cp1f eiss segment datasets max 32 05 has
50670,1+,4,j0049258 cgen246p cp1f eiss segment datasets max 32 05 has
50671,1+,1,majnod cp1bxce0 j0049198 77 tsgect cp1c part inuse partition 05
50672,1+,1,j0049198 72 tsgect cp1c inuse part partition 05 bancs big
50673,10+,6,modified de6 sgtso written blocks kb0263 amdd cp1d device volume
50674,10+,6,g61577 p00024 h233957 backupp3 ie tsbgdf ca181129 totalblocks list vols
50675,10+,6,structure in d53f68f3 95 c3b8d4 tot dsndp0y bcc2c5 90 gbp28
50676,10+,6,s0059824 dp2y gbp28 dsnb319a dsnb1cne shortage there space pool buffer
50677,10+,6,severity transient reported s0049990 dnfo1005e following sag with parameters bocou01
50678,1+,6,s0044205 parmlib mlib sys0 bsoextpdss0 extents exts set cp2c cp2d
50679,10+,6,zfs useage omvs bzzfsusges0 swiftios s0129909 80 name 10 war
50680,1+,5,j0058625 g01s583b 10 cp1d waiting ief099i sets job data for
50681,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50682,1+,8,d54ea4273094 ns200023 dp81appl s0129637 dp81 utility luwid after checkpoints dsnrpbcw
50683,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 13
50684,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 14 80
50685,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled 15 full current 80
50686,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 16 sg enabled full current 80
50687,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 17
50688,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 18 sg enabled full current 80
50689,1+,5,j0111941 g01s583b 18 cp1f sets ief099i waiting job data for
50690,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 19
50691,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50692,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50693,1+,4,j0116416 tsspyo cp1f max datasets segment 32 has bancs 21
50694,1+,4,j0116416 tssafe cp1f max datasets segment 32 has bancs 21
50695,1+,4,j0116416 tslmvu cp1f max datasets segment 32 has bancs 21
50696,1+,1,j0116416 70 tsgect cp1f inuse part partition bancs 21 dba
50697,1+,1,j0116416 72 tsgect cp1f inuse part partition bancs 21 dba
50698,1+,1,j0116416 78 tsgect cp1f inuse part partition bancs 21 ts
50699,1+,1,j0116416 73 tsgect cp1f inuse part partition bancs 21 dba
50700,1+,1,j0116416 79 tsgect cp1f inuse part partition bancs 21 dba
50701,1+,5,j0116478 na100009 cp1e sets waiting ief099i job data for 21
50702,1+,4,j0116327 cgen246p eiss cp1d segment max datasets 32 has 21
50703,1+,4,j0116327 cgen263p eiss cp1d segment max datasets 32 has 21
50704,1+,4,j0116327 cgen050p eiss cp1d segment max datasets 32 has 21
50705,1+,4,j0116327 cgen245p eiss cp1d segment max datasets 32 has 21
50706,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled 22 full current 80
50707,10+,8,name eh460007 dbci1600 twsp authid s0126467 dp11 batch plan 22
50708,100+,6,sysutilx 000010 dsndb01 resource dsnugrar dsnt500i s0006883 c90088 unavailable dp2z
50709,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 23 80
50710,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 80 00
50711,10+,8,s0129625 d54f4a7c0cfd ss160028 dp61appl dp61 utility luwid warning checkpoints after
50712,1+,5,j0128828 sa040000 00 cp1d sets waiting ief099i job data for
50713,1+,5,j0128828 sa040000 00 cp1d sets waiting ief099i job data for
50714,1+,5,j0128649 g01s023b 00 cp1c waiting ief099i sets job data for
50715,1+,6,c4041337 a3307 cc etqd2041 et prdc64r lveq 45 dataset ios080i
50716,1+,6,cp1hs1 hsmpdox bochsm cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full
50717,1+,5,j0133864 p1zosdl cp1c waiting sets ief099i job data for 01
50718,1+,5,j0066762 tmz60000 cp2a waiting ief099i sets job data for 01
50719,10+,6,previous the d54f526ff573000000 s0177136 gbp2 dp1c dec dsnb356i exist page
50720,1+,5,j0069922 smfmrgci cp3b waiting ief099i sets job data for 01
50721,1+,5,j0133370 smfmrgdb cp1d waiting ief099i sets job data for 01
50722,1+,5,j0133371 smfmrgci cp1e waiting ief099i sets job data for 01
50723,10+,8,d54f436d8940 dp71appl s0129632 me980000 dp71 db2call luwid warning checkpoints after
50724,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50725,1+,5,j0143072 p1cicsdl cp1e 02 waiting ief099i sets job data for
50726,10+,6,gbp4 s0129632 dp71 dsnb319a dsnb1cne shortage there space pool in
50727,1+,5,j0074524 rmfrptd3 cp3b 02 waiting ief099i sets job data for
50728,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50729,1+,5,j0145195 g01s131b cp1c 03 waiting ief099i sets job data for
50730,10+,6,j0144963 1029748 exceeds qdepth alarm xmitq1 now qps2 depth qm93
50731,1+,5,j0098171 c4card01 cp2c 03 ief099i waiting sets job data for
50732,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 04
50733,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 war
50734,1+,5,j0151934 a01s804b cp1f waiting ief099i sets job 05 data for
50735,1+,5,j0151877 axbkout cp1d sets waiting ief099i job 05 data for
50736,1+,4,j0151521 tsspyo cp1f datasets segment max 32 05 has bancs
50737,1+,4,j0151521 tssafe cp1f datasets segment max 32 05 has bancs
50738,1+,4,j0151521 tslmvu cp1f datasets segment max 32 05 has bancs
50739,1+,1,j0151521 78 tsgect cp1f part inuse partition 05 bancs ts
50740,1+,1,j0151521 70 tsgect cp1f inuse part partition 05 bancs dba
50741,1+,1,j0151521 79 tsgect cp1f inuse part partition 05 bancs big
50742,1+,1,j0151521 72 tsgect cp1f inuse part partition 05 bancs sysjob
50743,1+,1,j0151521 73 tsgect cp1f inuse part partition 05 bancs sysjob
50744,1+,4,j0151575 cgen263p eiss cp1d max datasets segment 32 05 has
50745,1+,4,j0151575 cgen050p eiss cp1d max datasets segment 32 05 has
50746,1+,4,j0151575 cgen246p eiss cp1d max datasets segment 32 05 has
50747,1+,4,j0151575 cgen245p eiss cp1d max datasets segment 32 05 has
50748,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled 06 full current 80
50749,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg full current 80 07
50750,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 80 08
50751,1+,6,s0044205 parmlib mlib sys0 bsoextpdss0 extents exts set cp2c cp2d
50752,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 enabled sg 09 full current 80
50753,1+,6,cp1d sgwbidb bsstrgrups0 s0129911 sg enabled full current 85 10
50754,1+,8,d54feba0132c ns200035 dp81appl s0129637 dp81 utility luwid after dsnrpbcw dsnr035i
50755,10+,6,gbp0 space pool buffer in group s0058946 dp1y dsnb5sts dsnb319a
50756,10+,6,structure in 37487 14210 d53f67b9 bd4 dsndp0y entries bcc2c5 total
50757,1+,7,ebct s0130101 qp11 csqxrctl chl csqx599e abnormally ended channel cp1c
50758,1+,4,j0166030 tsspyo cp1c datasets segment max 32 has bancs 21
50759,1+,4,j0166030 tslmvu cp1c datasets segment max 32 has bancs 21
50760,1+,4,j0166030 tssafe cp1c datasets segment max 32 has bancs 21
50761,1+,1,j0166030 73 tsgect cp1c part inuse partition bancs 21 big
50762,1+,1,j0166030 70 tsgect cp1c part inuse partition bancs 21 big
50763,1+,1,j0166030 78 tsgect cp1c inuse part partition bancs 21 ts
50764,1+,1,j0166030 73 tsgect cp1c part inuse partition bancs 21 big
50765,1+,1,j0166030 79 tsgect cp1c inuse part partition bancs 21 big
50766,1+,5,j0166105 na100006 cp1f sets waiting ief099i job data for 21
50767,1+,8,qmebctg ebct connection s0130101 qp11 21 csqxrctl chl 123 00000000
50768,1+,7,ebct s0130101 qp11 csqxrctl chl csqx599e abnormally ended channel cp1c
50769,1+,4,j0165994 cgen246p cp1f eiss datasets segment max 32 has 21
50770,1+,4,j0165994 cgen263p cp1f eiss datasets segment max 32 has 21
50771,1+,4,j0165994 cgen245p cp1f eiss datasets segment max 32 has 21
50772,1+,4,j0165994 cgen050p cp1f eiss datasets segment max 32 has 21
50773,1+,8,connection s0178019 mq2a eacq hhap ch 23 mqga 123 00000000
50774,1+,8,connection s0177455 mq3a eacq hhap ch 23 mqga 123 00000000
50775,1+,8,qp0s connection s0048456 qp1s 125 swifti cp3c 00000000 manager trptype
50776,1+,8,qp0s connection s0048789 qp2s 125 swifti cp3d 00000000 manager trptype
50777,1+,8,connection qp2s s0048789 qp0s 125 swifti cp3d 00000000 trptype tcp
50778,1+,8,qp0s connection qp2s s0048789 longer 125 swifti cp3d trptype manager
50779,1+,8,qp0s connection longer qp1s s0048456 125 swifti cp3c trptype tcp
50780,1+,8,connection s0048456 qp1s qp0s 125 cp3c 00000000 manager tcp trptype
50781,1+,8,qp0s tpz3 s0142753 connection qp2s s0048789 from 125 swifti cp3d
50782,1+,8,qp0s connection qp1s s0048456 125 swifti cp3c manager terminated unexpectedly
50783,1+,8,qp0s s0048456 qp1s swifti cp3c 00000000 manager trptype tcp unexpectedly
50784,1+,8,qp0s connection s0048789 qp2s 125 swifti cp3d 00000000 manager trptype
50785,1+,8,connection s0048789 qp2s qp0s 125 cp3d 00000000 manager tcp trptype
50786,1+,8,connection qp2s s0048789 qp0s 125 swifti cp3d 00000000 trptype tcp
50787,1+,8,qp0s qp2s s0048789 swifti cp3d 00000000 tcp manager trptype csqx209e
50788,1+,8,connection s0048789 qp2s qp0s 125 cp3d 00000000 manager tcp trptype
50789,1+,5,j0178839 g01s506b 00 cp1d ief099i waiting sets job data for
50790,10+,6,bctaskcskls0 count cskl tranid s0129908 all 10 00 cp1c cri
50791,10+,6,cip1ga21 db2 s0178021 dp2c 00 dp0c disconnected attachment dfhdb2025i subsystem
50792,10+,6,cip1ga11 db2 s0177167 00 dp1c dp0c attachment dfhdb2025i disconnected subsystem
50793,1+,7,wbifnbj wbifnhk s0177454 qwp2 csqxrctl chl csqx599e ended abnormally channel
50794,1+,8,connection 238 wbifnbj wbifnhk s0177454 qwp2 csqxrctl chl 00000000 manager
50795,1+,8,connection 238 wbifnbj wbifnhk s0177454 qwp2 csqxrctl chl 00000000 manager
50796,1+,8,connection 238 wbifnbj wbifnhk s0177454 qwp2 csqxrctl chl 00000000 manager
50797,1+,8,connection 238 wbifnbj wbifnhk s0177454 qwp2 csqxrctl chl 00000000 manager
50798,1+,8,connection 238 wbifnbj wbifnhk s0178013 qwp1 csqxrctl chl 00000000 trptype
50799,1+,8,wbnpg02 connection 238 wbifnbj wbifnhk s0178013 qwp1 csqxrctl chl 00000000
50800,1+,7,93 chl2 238 wbifnbj wbifnhk s0178013 qwp1 csqx599e abnormally ended
50801,1+,7,92 238 wbifnbj wbifnhk s0177454 chl1 qwp2 csqx599e abnormally ended
50802,1+,8,d5509b6fa2d1 s0177925 delswmsg dpw1appl dpw1 batch luwid warning after dsnrpbcw
50803,1+,5,j0183696 p1zosdl cp1c waiting sets ief099i job data for 01
50804,1+,5,j0179547 sa060000 cp1e waiting sets ief099i job data for 01
50805,1+,5,j0179547 sa060000 cp1e waiting sets ief099i job data for 01
50806,1+,5,j0136880 tmz60000 cp2a sets waiting ief099i job data for 01
50807,1+,8,wcb svrconn connection ch channel s0177155 mq1a mqga 123 trptype
50808,1+,8,connection s0177455 wcb svrconn mq3a ch mqga 123 00000000 manager
50809,1+,8,connection s0177155 wcb svrconn mq1a ch mqga 123 00000000 tcp
50810,1+,8,connection s0178071 mq4a wcb svrconn ch mqga 123 00000000 manager
50811,1+,8,connection s0178071 mq4a wcb svrconn ch mqga 123 00000000 tcp
50812,1+,8,connection s0177455 wcb svrconn mq3a ch mqga 123 00000000 manager
50813,1+,8,pu connection gen supported s0177155 wcb svrconn mq1a ch mqga
50814,1+,8,connection s0177155 wcb svrconn mq1a ch mqga 123 00000000 tcp
50815,1+,8,connection s0178019 wcb mq2a svrconn ch mqga 123 00000000 trptype
50816,1+,8,connection s0178019 wcb mq2a svrconn ch mqga 123 00000000 trptype
50817,1+,8,connection s0178019 wcb mq2a svrconn ch mqga 123 00000000 trptype
50818,1+,8,connection s0177455 wcb svrconn mq3a ch mqga 123 00000000 manager
50819,1+,5,j0185126 smfmrgci cp3b waiting ief099i sets job data for 01
50820,10+,6,pr2200 tmgl2200 tpgl0050 glxx t00 c0 split prddedpr 24 dataset
50821,1+,5,j0168279 c4card00 cp2b 02 ief099i waiting sets job data for
50822,1+,5,g01s660b j0187214 cp1e 02 sets ief099i waiting job data for
50823,1+,8,d55091869a10 s0177925 delmwh01 dpw1appl dpw1 batch luwid warning after dsnrpbcw
50824,1+,8,connection bcss s0177455 mq3a eacq mqga 123 00000000 tcp trptype
50825,1+,8,connection bcss s0177155 mq1a eacq mqga 123 00000000 trptype manager
50826,1+,8,connection bcss s0177155 mq1a eacq mqga 123 00000000 trptype manager
50827,1+,8,mqga tcp trptype manager rc queue connection bcss s0177155 mq1a
50828,1+,5,j0183924 p1cicsdl cp1e 02 waiting ief099i sets job data for
50829,1+,8,connection s0178071 mq4a eacq hhap ch mqga 123 manager csqx209e
50830,1+,8,connection s0178071 mq4a sms smsp hhap ch mqga 123 00000000
50831,1+,8,connection s0178019 mq2a eacq hhap ch mqga 123 00000000 tcp
50832,1+,8,connection s0177155 sms smsp mq1a hhap ch mqga 123 00000000
50833,1+,8,hhap ch terminated to channel connection s0178071 mq4a smsp eacq
50834,1+,8,connection s0178019 mq2a eacq hhap ch mqga 123 00000000 tcp
50835,1+,8,connection s0177455 sms smsp mq3a hhap ch mqga 123 00000000
50836,1+,8,connection s0178019 mq2a eacq hhap ch mqga 123 00000000 tcp
50837,1+,8,connection s0178071 mq4a sms smsp hhap ch mqga 123 00000000
50838,1+,8,fe7055 connection s0177155 dd1 tapelibprodhsh sms smsp volume mq1a hhap
50839,1+,8,connection s0178071 mq4a eacq hhap ch mqga 123 00000000 tcp
50840,1+,8,connection s0177455 mq3a eacq hhap ch mqga 123 00000000 manager
50841,1+,8,fe5448 connection s0178071 mq4a dd1 tapelibprodhsh sms smsp volume hhap
50842,1+,8,connection s0177455 mq3a eacq hhap ch mqga 123 00000000 tcp
50843,1+,8,connection s0178019 mq2a sms smsp hhap ch mqga 123 00000000
50844,10+,6,snf session file s0199520 bkchcnbj dnfo1709e determined bocou01 sessionclosed transfer
50845,10+,6,snf sessi generic s0199516 bkchcnbj determined sessionclosed msif transfer dnfo1709e
50846,1+,8,hhap ch terminated to channel connection s0177155 sms smsp mq1a
50847,10+,6,structure in f18b86e4 d3c53696 logrecstructure bcc2c2 usage threshold above monitoring
50848,1+,5,j0001041 a01s804b cp1c waiting ief099i sets job 05 data for
50849,1+,6,sgimgdp cp1d bsstrgrups1 s0129911 sg enabled full current 85 war
50850,1+,4,j0000446 tssafe cp1f max datasets segment 32 05 has bancs
50851,1+,4,j0000446 tsspyo cp1f max datasets segment 32 05 has bancs
50852,1+,4,j0000446 tslmvu cp1f max datasets segment 32 05 has bancs
50853,1+,6,s0044205 parmlib mlib sys0 bsoextpdss0 extents exts set cp2c cp2d
50854,1+,7,wbifnbj wbifnhk s0178013 qwp1 csqxrctl chl csqx599e ended abnormally 10
50855,1+,8,wbnpg02 connection 238 wbifnbj wbifnhk s0178013 qwp1 csqxrctl chl 00000000
50856,1+,7,93 chl2 238 wbifnbj wbifnhk s0177454 qwp2 csqx599e abnormally ended
50857,1+,7,92 238 wbifnbj wbifnhk s0178013 chl1 qwp1 csqx599e abnormally ended
50858,10+,8,d5511ca4c852 tf003502 s0129634 dp41appl dp41 batch luwid warning after dsnrpbcw
50859,10+,6,s0199516 wfa snlserverappfailure information dnfo1033e returned following sag with parameters
50860,10+,8,d55127eea289 pl s0129621 ns200023 dp51appl dp51 utility luwid checkpoints uncommitted
50861,10+,6,qm display 5000 bqcarqdeps0 s0129913 namedqueue currentdepth depth mq1a current
50862,10+,6,qm display 2000 bqcarqdeps0 s0129913 namedqueue currentdepth depth mq1a current
50863,1+,4,j0013698 tslmvu cp1c datasets segment max 32 has bancs 21
50864,1+,4,j0013698 tsspyo cp1c datasets segment max 32 has bancs 21
50865,1+,4,j0013698 tssafe cp1c datasets segment max 32 has bancs 21
50866,1+,1,j0013698 73 tsgect cp1c inuse part partition bancs 21 ts
50867,1+,1,j0013698 74 tsgect cp1c inuse part partition bancs 21 ts
50868,1+,1,j0013698 70 tsgect cp1c part inuse partition bancs 21 ts
50869,1+,1,j0013698 79 tsgect cp1c inuse part partition bancs 21 dba
50870,1+,1,j0013698 78 tsgect cp1c inuse part partition bancs 21 ts
50871,1+,5,j0013769 na100006 cp1d ief099i waiting sets job data for 21
50872,1+,4,j0013665 cgen263p eiss cp1d max datasets segment 32 has 21
50873,1+,4,j0013665 cgen245p eiss cp1d max datasets segment 32 has 21
50874,1+,4,j0013665 cgen050p eiss cp1d max datasets segment 32 has 21
50875,1+,4,j0013665 cgen246p eiss cp1d max datasets segment 32 has 21
50876,1+,5,j0014340 g01s663b 22 cp1e sets waiting ief099i job data for
50877,1+,8,d551c1597c35 s0129624 dp21 dp21appl me980000 db2call luwid warning checkpoints after
50878,1+,5,j0026368 g01s506b 00 cp1d ief099i waiting sets job data for
50879,1+,5,j0035088 p1cicsdl cp1e sets waiting ief099i job data for 01
50880,10+,6,tr863503 tp863503 inve ba reform prddedpr 15 dataset interval ios080i
50881,1+,5,j0031913 p1zosdl cp1c waiting ief099i sets job data for 01
50882,1+,5,j0031913 p1zosdl cp1c waiting ief099i sets job data for 01
50883,1+,5,j0006108 tmz60000 cp2d sets waiting ief099i job data for 01
50884,10+,6,dsnb5sts s0126467 dp11 gbp32k1 dsnb319a there shortage space pool in
50885,1+,5,j0104228 rmfrptd3 cp3a 02 sets waiting ief099i job data for
50886,1+,5,zz221201 j0042070 cp2a 03 waiting ief099i sets job data for
50887,1+,5,j0048371 a01s766b cp1f waiting ief099i sets job 05 data for
50888,1+,4,j0048006 tslmvu cp1f max segment datasets 32 05 has bancs
50889,1+,4,j0048006 tssafe cp1f datasets segment max 32 05 has bancs
50890,100+,6,fd3001 fs1 j0048006 scratched already pool02 dd1 tapelibprodhsh volume tsspyo
50891,1+,5,j0048127 axbkout cp1d waiting ief099i sets job 05 data for
50892,1+,1,j0048006 70 tsgect cp1f inuse part partition 05 bancs ts
50893,1+,1,j0048006 79 tsgect cp1f inuse part partition 05 bancs dba
50894,1+,1,j0048006 74 tsgect cp1f inuse part partition 05 bancs sysjob
50895,1+,1,j0048006 73 tsgect cp1f inuse part partition 05 bancs sysjob
50896,1+,1,j0048006 78 tsgect cp1f inuse part partition 05 bancs dba
50897,1+,4,j0048058 cgen246p eiss cp1d segment max datasets 32 05 has
