id,sysname,hostname,firstoccurredtime,lastoccurredtime,compressedtime,summary,severity,serial,flag,assignedto,status,timestamp,riskratio,key,knowledge
70271,P1,zos,21:20.0,21:20.0,1,14.21.15 CP1C S0052664  DSNR035I  -DP51 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP51APPL.D60DD8C723CC = 78899 -,1,110327458,2,ÁõÖÛÅô,1,2019/5/1 15:00,1+,DSNR035I,1
70272,P1,zos,14:43.0,14:43.0,2,21.14.32 CP1C J0100103  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 70.9% INUSE SYSJOB,1,110327658,2,ÁõÖÛÅô,1,2019/5/1 22:00,1+,DBA:BANCS,1
70273,P1,zos,14:43.0,14:43.0,2,21.14.32 CP1C J0100103  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.3% INUSE SYSJOB,1,110327659,2,ÁõÖÛÅô,1,2019/5/1 22:00,1+,DBA:BANCS,1
70274,P1,zos,14:36.0,14:36.0,1,21.14.31 CP1C J0100103  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.2% INUSE SYSJOB,1,110327657,2,ÁõÖÛÅô,1,2019/5/1 22:00,1+,DBA:BANCS,1
70275,P1,zos,11:42.0,11:42.0,1,21.11.36 CP1F J0100174 *IEF099I JOB NA100006 WAITING FOR DATA SETS,1,110327656,2,ÁõÖÛÅô,1,2019/5/1 22:00,1+,IEF099I,1
70276,P1,zos,28:01.0,28:02.0,2,22.27.56 CP1E J0100711 *IEF099I JOB G01S024B WAITING FOR DATA SETS,1,110327709,2,ÁõÖÛÅô,1,2019/5/1 23:00,1+,IEF099I,1
70277,P1,zos,21:56.0,21:56.0,1,23.21.49 CP1E J0109033 *IEF099I JOB G01S663B WAITING FOR DATA SETS,1,110327733,2,ÁõÖÛÅô,1,2019/5/2 0:00,1+,IEF099I,1
70278,P1,zos,15:11.0,15:12.0,3,23.15.05 CP1D J0107555 *IEF099I JOB EC041400 WAITING FOR DATA SETS,1,110327731,2,ÁõÖÛÅô,1,2019/5/2 0:00,1+,IEF099I,1
70279,P2,zos,56:15.0,56:15.0,1,".56.00 CP2C           IOS080I 42BA,34,TUE73302, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.DATA.UNLO.PAIF.TUE73302",1,110327950,2,ÁõÖÛÅô,1,2019/5/2 1:00,1+,IOS080I,1
70280,P1,zos,37:24.0,37:24.0,2,00.37.19 CP1F J0112619 *IEF099I JOB SA040000 WAITING FOR DATA SETS,1,110327939,2,ÁõÖÛÅô,1,2019/5/2 1:00,1+,IEF099I,1
70281,P3,zos,19:49.0,19:49.0,1,00.19.45 CP3A J0012253 *IEF099I JOB DEDPCN23 WAITING FOR DATA SETS,1,110327825,2,ÁõÖÛÅô,1,2019/5/2 1:00,1+,IEF099I,1
70282,P1,zos,00:15.0,00:15.0,1,00.00.05 CP1F S0053496  DSNR035I  -DP81 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = ME980000 -           CONNECTION ID  = DB2CALL -           LUWID = BOCHQP.DP81APPL.D60E5C345E6D = 122185 -,1,110327749,2,ÁõÖÛÅô,1,2019/5/2 1:00,1+,DSNR035I,1
70283,P2,zos,34:26.0,34:26.0,1,01.33.48 CP2D J0195240 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,1,110327986,2,ÁõÖÛÅô,1,2019/5/2 2:00,1+,IEF099I,1
70284,P2,zos,56:15.0,21:44.0,8,"01.21.08 CP2C           IOS080I 40BA,53,ULA63302, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",1,110327950,2,ÁõÖÛÅô,1,2019/5/2 2:00,1+,IOS080I,1
70285,P3,zos,28:36.0,28:36.0,1,02.28.23 CP3B J0038586 *IEF099I JOB DEDPMY23 WAITING FOR DATA SETS,1,110328025,2,ÁõÖÛÅô,1,2019/5/2 3:00,1+,IEF099I,1
70286,P1,zos,20:14.0,20:14.0,1,02.20.05 CP1F J0129709 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1,110328018,2,ÁõÖÛÅô,1,2019/5/2 3:00,1+,IEF099I,1
70287,P3,zos,15:12.0,15:12.0,1,02.15.01 CP3B J0036511 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,1,110328017,2,ÁõÖÛÅô,1,2019/5/2 3:00,1+,IEF099I,1
70288,P1,zos,00:06.0,00:06.0,1,02.00.01 CP1D J0122013 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,1,110328006,2,ÁõÖÛÅô,1,2019/5/2 3:00,1+,IEF099I,1
70289,P2,zos,07:56.0,07:56.0,2,03.07.51 CP2D J0026964 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,1,110328068,2,ÁõÖÛÅô,1,2019/5/2 4:00,1+,IEF099I,1
70290,P1,zos,06:11.0,06:11.0,1,05.06.05 CP1E J0134329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.4% INUSE SYSJOB BOCHSM.HMIGTAPE.DATASET - RACK=F88665,1,110328200,2,ÁõÖÛÅô,1,2019/5/2 6:00,1+,DBA:BANCS,1
70291,P1,zos,06:11.0,06:11.0,1,05.06.05 CP1E J0134329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 70.0% INUSE SYSJOB PART 16 71.4% INUSE SYSJOB,1,110328201,2,ÁõÖÛÅô,1,2019/5/2 6:00,1+,DBA:BANCS,1
70292,P1,zos,06:10.0,06:10.0,2,05.06.07 CP1E J0134329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.7% INUSE SYSJOB,1,110328199,2,ÁõÖÛÅô,1,2019/5/2 6:00,1+,DBA:BANCS,1
70293,P1,zos,06:10.0,06:10.0,1,05.06.06 CP1E J0134329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.4% INUSE SYSJOB,1,110328198,2,ÁõÖÛÅô,1,2019/5/2 6:00,1+,DBA:BANCS,1
70294,P3,zos,01:54.0,01:54.0,2,06.01.47 CP3C J0056057  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.8% INUSE SYSJOB,1,110328242,2,ÁõÖÛÅô,1,2019/5/2 7:00,1+,DBA:BOCSY,1
70295,P1,zos,06:55.0,06:55.0,1,07.06.36 CP1C J0135671 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1,110328268,2,ÁõÖÛÅô,1,2019/5/2 8:00,1+,IEF099I,1
70296,P2,zos,05:16.0,05:16.0,2,"08.05.09 CP2B          *IXC585E STRUCTURE LOGRECSTRUCTURE IN COUPLING * FACILITY BCC2C2, *PHYSICAL STRUCTURE VERSION D3C53696 F18B86E4, *IS AT OR ABOVE STRUCTURE FULL MONITORING THRESHOLD OF 80%: *   SPACE USAGE     IN-USE       T",1,110328321,2,ÁõÖÛÅô,1,2019/5/2 9:00,1+,IXC585E,1
70298,P1,zos,15:19.0,15:19.0,1,11.15.13 CP1C S0052641  DSNR035I  -DP11 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = TF000702 -           CONNECTION ID  = BATCH -           LUWID = BOCHQP.DP11APPL.D60EF298B640 = 165571 -           P,1,110328409,2,ÁõÖÛÅô,1,2019/5/2 12:00,1+,DSNR035I,1
70299,P3,zos,02:02.0,02:02.0,2,13.01.58 CP3C J0099975  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.8% INUSE SYSJOB,1,110328446,2,ÁõÖÛÅô,1,2019/5/2 14:00,1+,DBA:BOCSY,1
70300,P1,zos,14:40.0,14:40.0,2,21.14.28 CP1C J0145021  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.4% INUSE SYSJOB,1,110328608,2,ÁõÖÛÅô,1,2019/5/2 22:00,1+,DBA:BANCS,1
70301,P1,zos,14:30.0,14:40.0,2,21.14.27 CP1C J0145021  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.4% INUSE SYSJOB,1,110328605,2,ÁõÖÛÅô,1,2019/5/2 22:00,1+,DBA:BANCS,1
70302,P1,zos,14:40.0,14:40.0,2,21.14.28 CP1C J0145021  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 70.0% INUSE SYSJOB,1,110328607,2,ÁõÖÛÅô,1,2019/5/2 22:00,1+,DBA:BANCS,1
70303,P1,zos,14:40.0,14:40.0,2,21.14.28 CP1C J0145021  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.7% INUSE SYSJOB,1,110328609,2,ÁõÖÛÅô,1,2019/5/2 22:00,1+,DBA:BANCS,1
70304,P1,zos,11:46.0,11:46.0,1,21.11.41 CP1D J0145091 *IEF099I JOB NA100006 WAITING FOR DATA SETS,1,110328602,2,ÁõÖÛÅô,1,2019/5/2 22:00,1+,IEF099I,1
70305,P1,zos,44:37.0,44:37.0,1,22.44.34 CP1D J0148505 *IEF099I JOB G01S663B WAITING FOR DATA SETS,1,110328669,2,ÁõÖÛÅô,1,2019/5/2 23:00,1+,IEF099I,1
70306,P1,zos,39:56.0,39:57.0,3,00.39.52 CP1D J0157463 *IEF099I JOB SA060000 WAITING FOR DATA SETS,1,110328802,2,ÁõÖÛÅô,1,2019/5/3 1:00,1+,IEF099I,1
70307,P1,zos,59:58.0,59:58.0,1,"01.59.20 CP1E S0053040  DSNP007I  -DP3C DSNPXTN0 - EXTEND FAILED FOR DSNDP0CS.DSNDBD.DP3CWORK.DSN4K0D.I0001.A001. RC=00D70027 -            CONNECTION-ID=BATCH, CORRELATION-ID=G01S802B, -            LUW-ID=DSNDP0C.DP3CAPPL.D60FB9FE",1,110328850,2,ÁõÖÛÅô,1,2019/5/3 2:00,1+,DSNP007I,1
70308,P1,zos,49:26.0,49:26.0,1,01.49.16 CP1F J0164459 *IEF099I JOB G01S023B WAITING FOR DATA SETS,1,110328845,2,ÁõÖÛÅô,1,2019/5/3 2:00,1+,IEF099I,1
70309,P1,zos,29:17.0,29:18.0,14,01.29.11 CP1D S0053309 *DSNB319A  -DP21 DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP3-SEC,1,110328832,2,ÁõÖÛÅô,1,2019/5/3 2:00,1+,DSNB319A,1
70310,P2,zos,20:15.0,20:40.0,8,"01.20.19 CP2D           IOS080I 41BA,B1,UM103200, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDDEDPR.SPLIT.BOIS.UP103201.PR32",1,110328821,2,ÁõÖÛÅô,1,2019/5/3 2:00,1+,IOS080I,1
70311,P1,zos,24:53.0,24:54.0,2,02.24.47 CP1F J0174557 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1,110328866,2,ÁõÖÛÅô,1,2019/5/3 3:00,1+,IEF099I,1
70312,P3,zos,16:08.0,16:08.0,1,02.15.02 CP3A J0152144 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,1,110328862,2,ÁõÖÛÅô,1,2019/5/3 3:00,1+,IEF099I,1
70313,P2,zos,20:15.0,01:46.0,9,"02.01.37 CP2A           IOS080I 42E1,0C,ROMGJ00D, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST.",1,110328821,2,ÁõÖÛÅô,1,2019/5/3 3:00,1+,IOS080I,1
70314,P1,zos,00:11.0,00:17.0,2,02.00.01 CP1D J0166728 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,1,110328851,2,ÁõÖÛÅô,1,2019/5/3 3:00,1+,IEF099I,1
70315,P2,zos,11:03.0,11:03.0,3,03.10.56 CP2C J0096444 *IEF099I JOB C4CARD00 WAITING FOR DATA SETS,1,110328906,2,ÁõÖÛÅô,1,2019/5/3 4:00,1+,IEF099I,1
70316,P3,zos,31:44.0,31:44.0,1,04.31.37 CP3C J0169322 *IEF099I JOB DEDPG1U4 WAITING FOR DATA SETS,1,110329000,2,ÁõÖÛÅô,1,2019/5/3 5:00,1+,IEF099I,1
70317,P3,zos,31:43.0,31:43.0,1,04.31.39 CP3C J0169328 *IEF099I JOB DEDPDES5 WAITING FOR DATA SETS,1,110328999,2,ÁõÖÛÅô,1,2019/5/3 5:00,1+,IEF099I,1
70318,P3,zos,31:37.0,31:37.0,1,04.31.32 CP3C J0169311 *IEF099I JOB DEDPDEU4 WAITING FOR DATA SETS,1,110328998,2,ÁõÖÛÅô,1,2019/5/3 5:00,1+,IEF099I,1
70319,P1,zos,21:32.0,21:32.0,1,05.21.27 CP1F J0179462 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1,110329038,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,IEF099I,1
70320,P1,zos,05:03.0,05:04.0,2,05.04.58 CP1F J0178846  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.4% INUSE SYSJOB,1,110329022,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,DBA:BANCS,1
70321,P1,zos,05:03.0,05:04.0,3,05.04.58 CP1F J0178846  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 70.0% INUSE SYSJOB,1,110329020,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,DBA:BANCS,1
70322,P1,zos,05:03.0,05:04.0,2,05.04.59 CP1F J0178846  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.4% INUSE SYSJOB,1,110329023,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,DBA:BANCS,1
70323,P1,zos,05:03.0,05:03.0,1,05.04.59 CP1F J0178846  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.4% INUSE SYSJOB RACK=R03723,1,110329021,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,DBA:BANCS,1
70324,P1,zos,05:03.0,05:03.0,2,05.04.59 CP1F J0178846  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.7% INUSE SYSJOB,1,110329024,2,ÁõÖÛÅô,1,2019/5/3 6:00,1+,DBA:BANCS,1
70325,P3,zos,01:48.0,01:48.0,2,06.01.41 CP3C J0171441  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.8% INUSE SYSJOB,1,110329072,2,ÁõÖÛÅô,1,2019/5/3 7:00,1+,DBA:BOCSY,1
70326,P1,zos,00:12.0,00:12.0,1,07.00.02 CP1F J0180370 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,1,110329111,2,ÁõÖÛÅô,1,2019/5/3 8:00,1+,IEF099I,1
70327,P1,zos,25:28.0,28:07.0,3,12.28.00 CP1D S0053307  DSNR035I  -DP61 DSNRPBCW WARNING - UNCOMMITTED UR AFTER 3 CHECKPOINTS - CORRELATION NAME = NS200023 -           CONNECTION ID  = UTILITY -           LUWID = BOCHQP.DP61APPL.D610436E6AD7 = 58525 -,1,110329291,2,ÁõÖÛÅô,1,2019/5/3 13:00,1+,DSNR035I,1
70328,P3,zos,08:59.0,08:59.0,3,13.08.51 CP3B S0124439 *DSNB319A  -DP1X DSNB1CNE THERE IS A SHORTAGE OF * SPACE *IN GROUP BUFFER POOL GBP32K-SEC,1,110329311,2,ÁõÖÛÅô,1,2019/5/3 14:00,1+,DSNB319A,1
70329,P3,zos,01:59.0,01:59.0,1,13.01.52 CP3C J0015415  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.9% INUSE SYSJOB,1,110329307,2,ÁõÖÛÅô,1,2019/5/3 14:00,1+,DBA:BOCSY,1
70330,P1,zos,14:28.0,14:28.0,2,21.14.21 CP1D J0189847  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.4% INUSE SYSJOB,1,110329450,2,ÁõÖÛÅô,1,2019/5/3 22:00,1+,DBA:BANCS,1
70331,P1,zos,14:28.0,14:28.0,1,21.14.22 CP1D J0189847  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 70.0% INUSE SYSJOB,1,110329451,2,ÁõÖÛÅô,1,2019/5/3 22:00,1+,DBA:BANCS,1
70332,P1,zos,14:28.0,14:28.0,2,21.14.22 CP1D J0189847  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 73.7% INUSE SYSJOB,1,110329453,2,ÁõÖÛÅô,1,2019/5/3 22:00,1+,DBA:BANCS,1
70333,P1,zos,14:28.0,14:28.0,2,21.14.22 CP1D J0189847  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.4% INUSE SYSJOB,1,110329452,2,ÁõÖÛÅô,1,2019/5/3 22:00,1+,DBA:BANCS,1
70334,P1,zos,11:43.0,11:43.0,1,21.11.35 CP1E J0189924 *IEF099I JOB NA100006 WAITING FOR DATA SETS,1,110329449,2,ÁõÖÛÅô,1,2019/5/3 22:00,1+,IEF099I,1
70335,P1,zos,01:26.0,01:26.0,2,23.01.22 CP1C J0194863 *IEF099I JOB G01S662B WAITING FOR DATA SETS,1,110329518,2,ÁõÖÛÅô,1,2019/5/4 0:00,1+,IEF099I,1
70336,P1,zos,01:26.0,01:26.0,1,23.01.22 CP1F J0194862 *IEF099I JOB G01S663B WAITING FOR DATA SETS,1,110329517,2,ÁõÖÛÅô,1,2019/5/4 0:00,1+,IEF099I,1
70337,P2,zos,30:57.0,30:57.0,1,01.30.04 CP2A J0134395 *IEF099I JOB TMZ60000 WAITING FOR DATA SETS,1,110329654,2,ÁõÖÛÅô,1,2019/5/4 2:00,1+,IEF099I,1
70338,P2,zos,16:21.0,17:19.0,9,"01.17.00 CP2D           IOS080I 239C,43,C2ME6311, I/O TIMEOUT INTERVAL HAS BEEN EXCEEDED FOR AN ACTIVE REQUEST. DATASET NAME=PRDCBS.BBCQ.FIBAIFP.ET063108",1,110329634,2,ÁõÖÛÅô,1,2019/5/4 2:00,1+,IOS080I,1
70339,P1,zos,00:10.0,00:15.0,2,01.00.02 CP1F J0006370 *IEF099I JOB G01SUOCR WAITING FOR DATA SETS,1,110329627,2,ÁõÖÛÅô,1,2019/5/4 2:00,1+,IEF099I,1
70340,P2,zos,53:23.0,53:23.0,1,02.53.18 CP2D J0165590 *IEF099I JOB C4CARD01 WAITING FOR DATA SETS,1,110329745,2,ÁõÖÛÅô,1,2019/5/4 3:00,1+,IEF099I,1
70341,P3,zos,15:16.0,15:16.0,1,02.15.02 CP3A J0067453 *IEF099I JOB RMFRPTD3 WAITING FOR DATA SETS,1,110329684,2,ÁõÖÛÅô,1,2019/5/4 3:00,1+,IEF099I,1
70343,P1,zos,06:38.0,06:38.0,1,03.06.32 CP1D J0021843 *IEF099I JOB G01S506B WAITING FOR DATA SETS,1,110329759,2,ÁõÖÛÅô,1,2019/5/4 4:00,1+,IEF099I,1
70344,P3,zos,31:57.0,31:57.0,1,04.31.43 CP3C J0084403 *IEF099I JOB DEDPG1U4 WAITING FOR DATA SETS,1,110329858,2,ÁõÖÛÅô,1,2019/5/4 5:00,1+,IEF099I,1
70345,P1,zos,25:32.0,25:32.0,1,05.25.28 CP1E J0023669 *IEF099I JOB AXBKOUT  WAITING FOR DATA SETS,1,110329895,2,ÁõÖÛÅô,1,2019/5/4 6:00,1+,IEF099I,1
70346,P1,zos,05:56.0,05:57.0,2,05.05.50 CP1E J0023329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 8 70.3% INUSE SYSJOB,1,110329879,2,ÁõÖÛÅô,1,2019/5/4 6:00,1+,DBA:BANCS,1
70347,P1,zos,05:57.0,05:57.0,1,05.05.49 CP1E J0023329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 1 72.7% INUSE SYSJOB Volume FK2601 (/tapelibPRODHSH/DD1_POOL02_FS1/FK2601) already scratched,1,110329882,2,ÁõÖÛÅô,1,2019/5/4 6:00,10+,DBA:BANCS,1
70348,P1,zos,05:56.0,05:56.0,2,05.05.50 CP1E J0023329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 16 71.9% INUSE SYSJOB,1,110329880,2,ÁõÖÛÅô,1,2019/5/4 6:00,1+,DBA:BANCS,1
70349,P1,zos,05:56.0,05:56.0,1,05.05.51 CP1E J0023329  +DBA:BANCS BIG PARTITION TS FOUND!TSPROM PART 20 74.1% INUSE SYSJOB,1,110329881,2,ÁõÖÛÅô,1,2019/5/4 6:00,1+,DBA:BANCS,1
70350,P3,zos,01:54.0,01:57.0,2,06.01.50 CP3C J0086499  +DBA:BOCSY BIG PARTITION TS FOUND!TSDPTM PART 4 71.9% INUSE SYSJOB,1,110329920,2,ÁõÖÛÅô,1,2019/5/4 7:00,1+,DBA:BOCSY,1
